date,Ford,F-150,Ford Bronco_x,Ford Mustang_x,Ford Stock,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ford Motor Company,Ford Mustang_y,Ford F Series,Ford Bronco_y,Lincoln Navigator,Lincoln Aviator,Ford GT,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Wiki_total,Google_total,Stock_total,Nas_total,Dow_total,Wiki_Moment_1,Wiki_Moment_2,Wiki_Moment_1_s,Wiki_Moment_2_s,Wiki_MAvg,Wiki_MAvg_s,Wiki_Disparity,Wiki_Disparity_s,Wiki_ROC,Wiki_ROC_s,Wiki_Rocp,Wiki_EMA,Wiki_diff,Wiki_gain,Wiki_loss,Wiki_avg_gain,Wiki_avg_loss,Wiki_rs,Wiki_RSI,Wiki_Move,Wiki_MAvg_Move,Wiki_MAvg_s_Move,Wiki_EMA_Move,Wiki_Disparity_Move,Wiki_Disparity_s_Move,Wiki_RSI_Move,Google_Moment_1,Google_Moment_2,Google_Moment_1_s,Google_Moment_2_s,Google_MAvg,Google_MAvg_s,Google_Disparity,Google_Disparity_s,Google_ROC,Google_ROC_s,Google_Rocp,Google_EMA,Google_diff,Google_gain,Google_loss,Google_avg_gain,Google_avg_loss,Google_rs,Google_RSI,Google_Move,Google_MAvg_Move,Google_MAvg_s_Move,Google_EMA_Move,Google_Disparity_Move,Google_Disparity_s_Move,Google_RSI_Move,Stock_Moment_1,Stock_Moment_2,Stock_Moment_1_s,Stock_Moment_2_s,Stock_MAvg,Stock_MAvg_s,Stock_Disparity,Stock_Disparity_s,Stock_ROC,Stock_ROC_s,Stock_Rocp,Stock_EMA,Stock_diff,Stock_gain,Stock_loss,Stock_avg_gain,Stock_avg_loss,Stock_rs,Stock_RSI,Stock_Move,Stock_MAvg_Move,Stock_MAvg_s_Move,Stock_EMA_Move,Stock_Disparity_Move,Stock_Disparity_s_Move,Stock_RSI_Move,Nas_Moment_1,Nas_Moment_2,Nas_Moment_1_s,Nas_Moment_2_s,Nas_MAvg,Nas_MAvg_s,Nas_Disparity,Nas_Disparity_s,Nas_ROC,Nas_ROC_s,Nas_Rocp,Nas_EMA,Nas_diff,Nas_gain,Nas_loss,Nas_avg_gain,Nas_avg_loss,Nas_rs,Nas_RSI,Nas_Move,Nas_MAvg_Move,Nas_MAvg_s_Move,Nas_EMA_Move,Nas_Disparity_Move,Nas_Disparity_s_Move,Nas_RSI_Move,Dow_Moment_1,Dow_Moment_2,Dow_Moment_1_s,Dow_Moment_2_s,Dow_MAvg,Dow_MAvg_s,Dow_Disparity,Dow_Disparity_s,Dow_ROC,Dow_ROC_s,Dow_Rocp,Dow_EMA,Dow_diff,Dow_gain,Dow_loss,Dow_avg_gain,Dow_avg_loss,Dow_rs,Dow_RSI,Dow_Move,Dow_MAvg_Move,Dow_MAvg_s_Move,Dow_EMA_Move,Dow_Disparity_Move,Dow_Disparity_s_Move,Dow_RSI_Move,target_1,target_2,target_3,target_4,target_5
2019-01-02,19.416666666666668,0.5,0.0,0.5416666666666666,0.0,6.827570199135294,7.271861168231271,6.782234235961247,7.163054943084717,47494400.0,0.0,0.0,5648,3804,24.0,1597,710,341,1466,23058.609375,23413.470703125,22928.58984375,23346.240234375,321570000.0,6506.91015625,6693.7099609375,6506.8798828125,6665.93994140625,2261800000.0,13590.0,20.458333333333336,7.163054943084717,6665.93994140625,23346.240234375,,,,,13590.0,13590.0,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,20.458333333333336,20.458333333333336,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,7.163054943084717,7.163054943084717,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,6665.93994140625,6665.93994140625,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,23346.240234375,23346.240234375,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,1,0
2019-01-03,23.041666666666668,0.5,1.0833333333333333,1.5,0.4583333333333333,7.226524423906906,7.244658721830099,7.054248809814453,7.054248809814453,39172400.0,0.0,0.0,6290,3792,11.0,1549,678,334,1375,23176.390625,23176.390625,22638.41015625,22686.220703125,424240000.0,6584.77001953125,6600.2099609375,6457.1298828125,6463.5,2607290000.0,14029.0,26.583333333333332,7.054248809814453,6463.5,22686.220703125,,,,,13809.5,13809.5,101.58948549911293,101.58948549911293,,,,13736.333333333334,439.0,439.0,0.0,,,,,1,1,1,0,1,1,0,,,,,23.520833333333336,23.520833333333336,113.02037201062886,113.02037201062886,,,,22.5,6.1249999999999964,6.12,0.0,,,,,1,1,1,0,1,1,0,,,,,7.108651876449585,7.108651876449585,99.23469220914637,99.23469220914637,,,,7.126786231994629,-0.10880613327026367,0.0,-0.11,,,,,0,0,0,0,0,0,0,,,,,6564.719970703125,6564.719970703125,98.45812203483398,98.45812203483398,,,,6598.4599609375,-202.43994140625,0.0,-202.44,,,,,0,0,0,0,0,0,0,,,,,23016.23046875,23016.23046875,98.56618673473457,98.56618673473457,,,,23126.233723958332,-660.01953125,0.0,-660.02,,,,,0,0,0,0,0,0,0,1,0,1,1,1
2019-01-04,19.20833333333333,0.0,0.5,0.7916666666666666,1.2083333333333333,7.172121676072932,7.362532024318741,7.117718781196382,7.326263427734375,43039800.0,0.0,0.0,6227,3800,15.0,1387,679,303,1390,22894.919921875,23518.640625,22894.919921875,23433.16015625,396020000.0,6567.14013671875,6760.68994140625,6554.240234375,6738.85986328125,2579550000.0,13801.0,21.70833333333333,7.326263427734375,6738.85986328125,23433.16015625,,,,,13806.666666666666,13806.666666666666,99.95895702559152,99.95895702559152,,,,13806.666666666666,-228.0,0.0,-228.0,,,,,0,0,0,1,0,0,0,,,,,22.916666666666668,22.916666666666668,94.7272727272727,94.7272727272727,,,,22.916666666666668,-4.8750000000000036,0.0,-4.88,,,,,0,0,0,1,0,0,0,,,,,7.181189060211182,7.181189060211182,102.0201998068399,102.0201998068399,,,,7.181189060211182,0.2720146179199219,0.27,0.0,,,,,1,1,1,1,1,1,0,,,,,6622.7666015625,6622.7666015625,101.75294206640713,101.75294206640713,,,,6622.7666015625,275.35986328125,275.36,0.0,,,,,1,1,1,1,1,1,0,,,,,23155.20703125,23155.20703125,101.20039144813033,101.20039144813033,,,,23155.20703125,746.939453125,746.94,0.0,,,,,1,1,1,1,1,1,0,1,1,1,1,0
2019-01-07,21.70833333333333,0.0,1.3333333333333333,0.75,0.0,7.353464918992021,7.589211237481485,7.280927723258583,7.516674041748047,40729400.0,0.0,0.0,6110,3760,25.0,1507,727,444,1277,23474.259765625,23687.740234375,23301.58984375,23531.349609375,334200000.0,6757.52978515625,6855.60009765625,6741.39990234375,6823.47021484375,2507550000.0,13850.0,23.79166666666666,7.516674041748047,6823.47021484375,23531.349609375,,,101.91317144959528,26000.0,13893.333333333334,13850.0,99.68809980806141,100.0,,1.9131714495952907,,13821.111111111111,49.0,49.0,0.0,,,,,1,1,1,1,0,1,0,,,116.29327902240321,333.3333333333325,24.02777777777777,23.79166666666666,99.01734104046243,100.0,,16.29327902240322,,23.208333333333332,2.083333333333332,2.08,0.0,,,,,1,1,1,1,1,1,0,,,104.93670789171759,35.36190986633301,7.299062093098958,7.516674041748047,102.98136864536109,100.0,,4.936707891717589,,7.293017387390137,0.19041061401367188,0.19,0.0,,,,,1,1,1,1,1,0,0,,,102.36321171240957,15753.02734375,6675.276692708333,6823.47021484375,102.22003564732071,100.0,,2.363211712409568,,6689.667805989583,84.6103515625,84.61,0.0,,,,,1,1,1,1,1,0,0,,,100.79288730494362,18510.9375,23216.91015625,23531.349609375,101.35435529968811,100.0,,0.7928873049436242,,23280.587890625,98.189453125,98.19,0.0,,,,,1,1,1,1,1,0,0,1,1,1,1,1
2019-01-08,20.916666666666668,0.0,0.625,1.125,0.4166666666666667,7.634546469420933,7.743352252594899,7.571076645413996,7.589210510253906,45644000.0,0.0,0.0,6482,3583,11.0,1530,721,403,1271,23680.3203125,23864.650390625,23581.44921875,23787.44921875,317420000.0,6893.43994140625,6909.580078125,6795.85986328125,6897.0,2380290000.0,14001.0,23.083333333333336,7.589210510253906,6897.0,23787.44921875,,,99.80041342932498,-2800.0,13884.0,13925.5,100.84269662921348,100.54217083767189,,-0.1995865706750303,,13929.222222222223,151.0,151.0,0.0,,,,,1,0,1,1,1,1,0,,,86.83385579937305,-349.99999999999966,22.86111111111111,23.4375,100.97205346294047,98.48888888888891,,-13.166144200626947,,23.71296296296296,-0.708333333333325,0.0,-0.71,,,,,0,0,0,1,1,0,0,,,107.58353886944234,53.49617004394531,7.477382659912109,7.552942276000977,101.4955480470637,100.48018683219875,,7.583538869442346,,7.395778232150607,0.07253646850585938,0.07,0.0,,,,,1,1,1,1,0,1,0,,,106.70689255047574,43350.0,6819.776692708333,6860.235107421875,101.13234363486174,100.53591301176179,,6.706892550475748,,6749.184461805556,73.52978515625,73.53,0.0,,,,,1,1,1,1,0,1,0,,,104.85417350926727,110122.8515625,23583.986328125,23659.3994140625,100.86271628466118,100.54122170409529,,4.854173509267266,,23407.08984375,256.099609375,256.1,0.0,,,,,1,1,1,1,0,1,0,1,1,1,1,1
2019-01-09,21.5,0.5833333333333334,1.625,0.4583333333333333,0.5833333333333334,7.661748175598955,7.951897813488397,7.580143616964786,7.906561851501465,48404900.0,0.0,0.0,6431,3587,13.0,1438,749,343,1345,23844.26953125,24084.7109375,23703.16015625,23879.119140625,324570000.0,6923.06005859375,6985.22021484375,6899.56005859375,6957.080078125,2422590000.0,13906.0,24.749999999999996,7.906561851501465,6957.080078125,23879.119140625,102.32523914643119,31600.0,100.76081443373668,10500.0,13919.0,13919.0,99.90660248581077,99.90660248581077,2.3252391464311994,0.7608144337366858,44.00632911392405,13891.333333333334,-95.0,0.0,-95.0,,,,,0,1,0,0,0,0,0,120.97759674134416,429.16666666666606,114.01151631477929,304.1666666666668,23.875,23.875,103.66492146596858,103.66492146596858,20.977596741344165,14.011516314779279,5.766990291262143,23.49074074074074,1.6666666666666607,1.67,0.0,,,,,1,1,1,0,1,1,0,110.3797459927979,74.3506908416748,107.9207965901186,58.029842376708984,7.670815467834473,7.670815467834473,103.07328972591678,103.07328972591678,10.379745992797904,7.920796590118592,10.634147123579522,7.6204423904418945,0.3173513412475586,0.32,0.0,,,,,1,1,1,1,1,1,0,104.36757815518709,29114.013671875,103.23823642679959,21822.021484375,6892.516764322917,6892.516764322917,100.93671609384074,100.93671609384074,4.367578155187083,3.238236426799583,23.895984100762256,6865.544487847222,60.080078125,60.08,0.0,,,,,1,1,1,1,0,1,0,102.28250416726796,53287.890625,101.90311072600275,44595.8984375,23732.639322916668,23732.639322916668,100.6172082915653,100.6172082915653,2.2825041672679665,1.9031107260027647,44.81153008789227,23682.363932291668,91.669921875,91.67,0.0,,,,,1,1,1,1,0,1,0,0,1,0,1,0
2019-01-10,16.75,0.0,0.375,0.0,0.375,7.897493242271442,7.951896561029308,7.661746968839718,7.86122465133667,39490400.0,0.0,0.0,7099,3780,39.0,1583,793,813,1335,23811.109375,24014.779296875,23703.25,24001.919921875,338150000.0,6908.64990234375,6991.3701171875,6877.080078125,6986.06982421875,2179080000.0,15442.0,17.5,7.86122465133667,6986.06982421875,24001.919921875,110.0719937272792,141300.0,111.49458483754513,159200.0,14299.75,14449.666666666666,107.98790188639661,106.86751712842279,10.071993727279208,11.494584837545126,10.928520877565463,14426.666666666666,1536.0,1536.0,0.0,,,,,1,1,1,1,1,1,0,65.8307210031348,-908.3333333333333,73.5551663747811,-629.1666666666661,22.28125,21.777777777777782,78.5413744740533,80.35714285714283,-34.1692789968652,-26.444833625218894,-1.926605504587156,21.75,-7.2499999999999964,0.0,-7.25,,,,,0,0,0,0,0,0,0,111.43957157280143,80.69758415222168,104.58381735957911,34.455060958862305,7.718417763710022,7.785665671030681,101.85020935635394,100.97048837567138,11.439571572801421,4.583817359579101,9.741586113046289,7.734285195668538,-0.04533720016479492,0.0,-0.05,,,,,0,1,1,1,0,0,0,108.08493578121374,52256.982421875,102.3829459828414,16259.9609375,6915.905029296875,6946.716634114583,101.01454248756521,100.56650058116531,8.084935781213739,2.3829459828414206,13.36868204103257,6923.701117621528,28.98974609375,28.99,0.0,,,,,1,1,1,1,1,0,0,105.79955223026091,131569.921875,101.9997591311657,47057.03125,23799.95947265625,23889.49609375,100.84857476102336,100.47059941190813,5.799552230260917,1.9997591311656964,18.24271047654675,23822.399522569445,122.80078125,122.8,0.0,,,,,1,1,1,1,1,0,0,1,1,1,1,1
2019-01-11,22.166666666666668,0.0,1.25,1.1666666666666667,0.0,7.9518973425433455,8.09697172054037,7.888426653636021,7.997232437133789,41559900.0,0.0,0.0,6630,3887,10.0,1448,796,556,1443,23940.009765625,23996.3203125,23798.16015625,23995.94921875,262650000.0,6947.4599609375,6975.64990234375,6933.60009765625,6971.47998046875,2066500000.0,14770.0,24.583333333333336,7.997232437133789,6971.47998046875,23995.94921875,107.02123034562715,96900.0,105.49246482394115,76900.0,14393.8,14706.0,102.61362531089775,100.43519651842784,7.021230345627129,5.492464823941147,15.24251805985552,14456.5,-672.0,0.0,-672.0,,,,,0,1,1,1,0,0,0,113.24376199616127,287.5000000000007,106.49819494584838,150.0,22.741666666666667,22.277777777777775,108.09820447050203,110.34912718204491,13.243761996161263,6.4981949458483745,8.550724637681139,23.04861111111111,7.083333333333336,7.08,0.0,,,,,1,1,1,1,1,1,0,109.1584068197628,67.0969009399414,105.37634219433758,40.80219268798828,7.774180698394775,7.921672979990642,102.86913499174351,100.95383206721615,9.158406819762817,5.3763421943375755,11.91892967499666,7.811355988184611,0.13600778579711914,0.14,0.0,,,,,1,1,1,1,1,0,0,103.45192097635095,23262.01171875,101.07988952397781,7447.998046875,6927.02001953125,6971.543294270833,100.64183387390453,99.99909182516107,3.451920976350944,1.0798895239778163,29.96937695998791,6934.430013020833,-14.58984375,0.0,-14.59,,,,,0,1,1,1,0,0,0,102.40167804405115,56278.90625,100.87651264363248,20850.0,23839.157421875,23958.99609375,100.6577069570887,100.15423486382903,2.401678044051157,0.8765126436324828,42.63755431236726,23865.289388020832,-5.970703125,0.0,-5.97,,,,,0,1,1,1,0,0,0,0,1,1,1,1
2019-01-14,23.166666666666668,0.7916666666666666,1.5416666666666667,2.708333333333333,0.375,7.979099195739056,8.214845510761554,7.942830598405715,8.151374816894531,44833800.0,0.0,0.0,6683,4420,6.0,1825,735,650,1728,23880.529296875,23964.900390625,23765.240234375,23909.83984375,277560000.0,6908.02978515625,6936.22021484375,6887.47998046875,6905.919921875,1942210000.0,16047.0,28.583333333333336,8.151374816894531,6905.919921875,23909.83984375,115.86281588447653,219700.0,115.3962318423702,214100.0,15419.666666666666,16047.0,104.06839750102684,100.0,15.862815884476532,15.3962318423702,7.304050978607192,14944.866666666667,1277.0,1277.0,0.0,,,,,1,1,1,1,1,0,0,120.14010507880914,479.1666666666675,115.4882154882155,383.33333333333394,23.555555555555557,28.583333333333336,121.34433962264151,100.0,20.14010507880915,15.488215488215515,5.965217391304338,24.68888888888889,4.0,4.0,0.0,,,,,1,1,1,1,1,0,0,108.44390446654091,63.47007751464844,103.09632644366877,24.48129653930664,8.00327730178833,8.151374816894531,101.85046087398608,100.0,8.443904466540907,3.096326443668763,12.842862552063613,7.8999120712280275,0.1541423797607422,0.15,0.0,,,,,1,1,1,1,0,0,0,101.20832515472684,8244.970703125,99.26463177546479,-5116.015625,6954.489908854167,6905.919921875,99.30160245229014,100.0,1.2083251547268314,-0.7353682245352011,83.75918084533066,6919.986653645833,-65.56005859375,0.0,-65.56,,,,,0,1,0,0,0,1,0,101.60845102664322,37849.0234375,100.12865090602415,3072.0703125,23969.236328125,23909.83984375,99.75219700969235,100.0,1.6084510266432306,0.1286509060241488,63.171616259088594,23862.718229166665,-86.109375,0.0,-86.11,,,,,0,1,0,0,0,0,0,1,1,0,1,1
2019-01-15,30.83333333333333,0.5,4.083333333333333,1.5416666666666667,0.4583333333333333,8.178577595577462,8.187644097133328,7.9337638946246,8.015368461608887,65311700.0,0.0,0.0,6685,4636,9.0,1904,753,589,1647,23914.109375,24099.140625,23887.9296875,24065.58984375,291570000.0,6931.39013671875,7025.85009765625,6928.1201171875,7023.830078125,2038090000.0,16223.0,37.416666666666664,8.015368461608887,7023.830078125,24065.58984375,115.87029497893006,222200.0,105.05763502137029,78100.0,15680.0,16135.0,103.46301020408164,100.54539820266501,15.870294978930078,5.057635021370289,7.301080108010802,15687.444444444443,176.0,176.0,0.0,,,,,1,1,1,1,0,1,0,162.09386281588445,1433.3333333333328,213.8095238095238,1991.6666666666665,30.194444444444443,33.0,123.91904323827048,113.38383838383838,62.09386281588445,113.80952380952381,2.6104651162790704,28.175925925925924,8.833333333333329,8.83,0.0,,,,,1,1,1,1,1,1,0,105.61531335544312,42.61579513549805,101.96081166877742,15.41438102722168,8.054658571879068,8.083371639251709,99.51220638442263,99.15872756223891,5.615313355443119,1.9608116687774242,18.80844516950537,8.007307688395182,-0.13600635528564453,0.0,-0.14,,,,,0,1,0,1,0,0,0,101.8389166032333,12683.0078125,100.5405078228011,3776.025390625,6967.07666015625,6964.875,100.81459442370306,100.84646283135017,1.8389166032332898,0.5405078228011087,55.3798450806166,6977.603298611111,117.91015625,117.91,0.0,,,,,1,1,1,1,1,1,0,101.16927469793929,27814.0625,100.26527012039972,6366.9921875,23990.459635416668,23987.71484375,100.31316702337132,100.32464534661705,1.1692746979392856,0.2652701203997109,86.52310263468344,24001.354166666668,155.75,155.75,0.0,,,,,1,1,1,1,1,1,0,0,0,0,0,1
