date,UBS_x,UBS Financial Services Inc.,UBS Investment Bank,UBS Global Wealth Management,UBS Asset Management,Open,High,Low,Close,Volume,Dividends,Stock Splits,UBS_y,Union Bank of Switzerland,UBS tax evasion controversies,Banking in Switzerland
2021-01-01,3.391304347826087,0.0,0.0,0.0,0.0,,,,,,,,1044,69,22,365
2021-01-02,3.0,0.0,0.0,0.0,0.0,,,,,,,,1085,111,17,392
2021-01-03,3.9583333333333335,0.0,0.0,0.0,0.0,,,,,,,,1311,91,11,397
2021-01-04,6.666666666666667,0.0,0.0,0.0,0.0,13.726173142757371,13.741382910033039,13.469520784773664,13.583588600158691,4974100.0,0.0,0.0,1521,107,30,385
2021-01-05,0.0,0.0,0.0,0.0,0.0,13.754690087405477,13.96381395186926,13.735678332528568,13.887768745422363,3584400.0,0.0,0.0,1460,98,28,356
2021-01-06,9.0,0.0,0.0,0.0,0.0,14.201455773350858,14.496131634967837,14.144422320476854,14.353547096252441,5241300.0,0.0,0.0,1389,92,18,365
2021-01-07,5.583333333333333,0.0,0.0,0.0,0.0,14.638715709457406,14.838334601246842,14.600693106570388,14.771795272827148,4618000.0,0.0,0.0,1370,92,29,373
2021-01-08,3.0833333333333335,0.0,0.0,0.0,0.0,14.629210899823555,14.638715870752268,14.391569402528678,14.534153938293457,2133900.0,0.0,0.0,1268,109,26,363
2021-01-09,6.833333333333333,0.0,0.0,0.0,0.0,,,,,,,,1065,81,18,355
2021-01-10,0.0,0.0,0.0,0.0,0.0,,,,,,,,1162,84,17,421
2021-01-11,5.666666666666667,0.0,0.0,0.0,0.0,14.25848970545176,14.496131200542623,14.210961225127516,14.477119445800781,2451400.0,0.0,0.0,1552,82,36,384
2021-01-12,18.125,0.0,0.0,0.0,0.0,14.477119066034154,14.610198626144998,14.422937560807998,14.600692749023438,4100300.0,0.0,0.0,1612,94,43,380
2021-01-13,6.083333333333333,0.0,0.0,0.0,0.0,14.353547396839605,14.39157000172866,14.277502187061495,14.363052368164062,2796100.0,0.0,0.0,1567,72,26,326
2021-01-14,6.583333333333333,0.0,0.0,0.0,0.0,14.429591268931274,14.553164949997482,14.41533245347083,14.486624717712402,2441800.0,0.0,0.0,1434,101,26,371
2021-01-15,3.125,0.0,0.0,0.0,0.0,14.47711992291244,14.49613167828084,14.2775019307266,14.382063865661621,1786100.0,0.0,0.0,1643,105,18,338
2021-01-16,4.166666666666667,0.0,0.0,0.0,0.0,,,,,,,,1260,57,24,352
2021-01-17,3.75,0.0,0.0,0.0,0.0,,,,,,,,1205,87,52,373
2021-01-18,17.833333333333332,0.0,0.0,0.0,0.0,,,,,,,,1402,106,30,362
2021-01-19,10.75,0.0,0.0,0.0,0.0,14.22046647646116,14.239477323835715,14.106398672622875,14.163432121276855,3521100.0,0.0,0.0,1358,87,25,349
2021-01-20,8.791666666666666,0.0,0.0,0.0,0.0,14.2870065483892,14.2870065483892,14.177691677316767,14.21096134185791,1547100.0,0.0,0.0,1306,101,26,340
2021-01-21,2.4583333333333335,0.0,0.0,0.0,0.0,14.30601861027938,14.32502945905497,14.144422316300108,14.191950798034668,2223600.0,0.0,0.0,1297,85,31,323
2021-01-22,1.375,0.0,0.0,0.0,0.0,14.115904852514628,14.210960904488022,14.06837637326276,14.144421577453613,2942200.0,0.0,0.0,1328,97,16,367
2021-01-23,1.5833333333333333,0.0,0.0,0.0,0.0,,,,,,,,959,73,20,354
2021-01-24,3.5833333333333335,0.0,0.0,0.0,0.0,,,,,,,,1024,73,33,350
2021-01-25,2.875,0.0,0.0,0.0,0.0,14.01134260512102,14.035107299009887,13.684348032065413,13.811723709106445,5256700.0,0.0,0.0,1378,84,26,371
2021-01-26,13.666666666666666,0.0,0.0,0.0,0.0,14.210961947800614,14.306018913283056,14.134916738026822,14.201456069946289,3954400.0,0.0,0.0,1826,118,33,421
2021-01-27,10.916666666666666,0.0,0.0,0.0,0.0,14.049364332511686,14.06362314795564,13.83073460155299,13.840240478515625,5011100.0,0.0,0.0,1459,107,31,337
2021-01-28,7.0,0.0,0.0,0.0,0.0,14.049365651196757,14.420086728762849,14.020848924162568,14.363052368164062,5087700.0,0.0,0.0,1511,98,35,378
2021-01-29,0.0,0.0,0.0,0.0,0.0,13.849746398377357,13.906780757532678,13.616857836009705,13.678645133972168,4469300.0,0.0,0.0,1415,99,21,344
2021-01-30,8.291666666666666,0.0,0.0,0.0,0.0,,,,,,,,1129,83,29,304
2021-01-31,0.0,0.0,0.0,0.0,0.0,,,,,,,,1071,63,29,314
2021-02-01,7.25,0.0,0.0,0.0,0.0,13.82122950656205,13.944803194476851,13.754690177119608,13.91628646850586,2134800.0,0.0,0.0,1394,105,49,339
2021-02-02,11.791666666666666,0.0,0.0,0.0,0.0,14.011342573850259,14.11305346910077,13.982825847777642,14.106399536132812,2134900.0,0.0,0.0,1416,99,36,339
2021-02-03,2.6666666666666665,0.0,0.0,0.0,0.0,14.068377108136966,14.229973402116238,14.068377108136966,14.191950798034668,2018600.0,0.0,0.0,1431,106,33,405
2021-02-04,0.0,0.0,0.0,0.0,0.0,14.096894221823245,14.277502276070006,14.096894221823245,14.229973793029785,2551700.0,0.0,0.0,1399,102,20,377
