date,UBS_x,UBS Financial Services Inc.,UBS Investment Bank,UBS Global Wealth Management,UBS Asset Management,Open,High,Low,Close,Volume,Dividends,Stock Splits,UBS_y,Union Bank of Switzerland,UBS tax evasion controversies,Banking in Switzerland
2019-01-01,0.0,0.0,0.0,0.0,0.0,,,,,,,,960,91,25,328
2019-01-02,6.708333333333333,0.0,0.0,0.0,0.0,10.378242179167819,10.70017958453756,10.282508261186656,10.632403373718262,3210100.0,0.0,0.0,1402,117,29,399
2019-01-03,5.708333333333333,0.0,0.0,0.0,0.0,10.522265888529098,10.606986548457852,10.46550293326298,10.49685001373291,2534700.0,0.0,0.0,1556,126,15,421
2019-01-04,14.791666666666666,0.0,0.0,0.0,0.0,10.734068110189446,10.937396750607718,10.687471660443352,10.878092765808105,2743500.0,0.0,0.0,1467,125,29,398
2019-01-05,9.125,0.0,0.0,0.0,0.0,,,,,,,,1154,105,19,382
2019-01-06,2.875,0.0,0.0,0.0,0.0,,,,,,,,1352,113,44,428
2019-01-07,12.208333333333334,0.0,0.0,0.0,0.0,10.878092254210054,11.05600500819783,10.823023578380703,10.988228797912598,3163300.0,0.0,0.0,2017,130,37,418
2019-01-08,2.3333333333333335,0.0,0.0,0.0,0.0,11.047532322183333,11.0898926538455,10.945868010967809,11.013644218444824,2384500.0,0.0,0.0,2023,146,39,422
2019-01-09,9.083333333333334,0.0,0.0,0.0,0.0,11.081420668728756,11.13225322942838,10.954340478913904,10.979756355285645,3655200.0,0.0,0.0,2001,136,34,413
2019-01-10,6.416666666666667,0.0,0.0,0.0,0.0,11.030589570706473,11.157669768064176,11.022117342094308,11.098365783691406,2622300.0,0.0,0.0,2017,116,22,423
2019-01-11,13.166666666666666,0.0,0.0,0.0,0.0,11.056005910988215,11.233918679503656,11.03059003204493,11.166142463684082,2160300.0,0.0,0.0,1629,120,28,308
2019-01-12,7.291666666666667,0.0,0.0,0.0,0.0,,,,,,,,1262,84,37,350
2019-01-13,0.0,0.0,0.0,0.0,0.0,,,,,,,,1180,102,24,411
2019-01-14,16.041666666666668,0.0,0.0,0.0,0.0,11.039060034912186,11.293221215562657,11.039060034912186,11.233917236328125,2759300.0,0.0,0.0,1591,147,25,427
2019-01-15,9.625,0.0,0.0,0.0,0.0,11.098366005335537,11.208501747668418,11.056005669384932,11.200030326843262,2680400.0,0.0,0.0,1664,148,29,468
2019-01-16,3.9166666666666665,0.0,0.0,0.0,0.0,11.318637312824102,11.496550061966788,11.301693664692298,11.471134185791016,2680300.0,0.0,0.0,1968,131,40,419
