date,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol
2019-01-02,23058.609375,23413.470703125,22928.58984375,23346.240234375,321570000,6506.91015625,6693.7099609375,6506.8798828125,6665.93994140625,2261800000
2019-01-03,23176.390625,23176.390625,22638.41015625,22686.220703125,424240000,6584.77001953125,6600.2099609375,6457.1298828125,6463.5,2607290000
2019-01-04,22894.919921875,23518.640625,22894.919921875,23433.16015625,396020000,6567.14013671875,6760.68994140625,6554.240234375,6738.85986328125,2579550000
2019-01-07,23474.259765625,23687.740234375,23301.58984375,23531.349609375,334200000,6757.52978515625,6855.60009765625,6741.39990234375,6823.47021484375,2507550000
2019-01-08,23680.3203125,23864.650390625,23581.44921875,23787.44921875,317420000,6893.43994140625,6909.580078125,6795.85986328125,6897.0,2380290000
2019-01-09,23844.26953125,24084.7109375,23703.16015625,23879.119140625,324570000,6923.06005859375,6985.22021484375,6899.56005859375,6957.080078125,2422590000
2019-01-10,23811.109375,24014.779296875,23703.25,24001.919921875,338150000,6908.64990234375,6991.3701171875,6877.080078125,6986.06982421875,2179080000
2019-01-11,23940.009765625,23996.3203125,23798.16015625,23995.94921875,262650000,6947.4599609375,6975.64990234375,6933.60009765625,6971.47998046875,2066500000
2019-01-14,23880.529296875,23964.900390625,23765.240234375,23909.83984375,277560000,6908.02978515625,6936.22021484375,6887.47998046875,6905.919921875,1942210000
2019-01-15,23914.109375,24099.140625,23887.9296875,24065.58984375,291570000,6931.39013671875,7025.85009765625,6928.1201171875,7023.830078125,2038090000
2019-01-16,24139.91015625,24288.609375,24119.720703125,24207.16015625,302830000,7033.75,7079.6298828125,7028.1201171875,7034.68994140625,2149580000
2019-01-17,24147.08984375,24474.4609375,24088.900390625,24370.099609375,288590000,7010.1298828125,7113.9501953125,7003.6201171875,7084.4599609375,2128840000
2019-01-18,24534.189453125,24750.220703125,24459.029296875,24706.349609375,372970000,7134.10009765625,7185.3798828125,7096.6201171875,7157.22998046875,2451240000
2019-01-22,24607.759765625,24607.759765625,24244.310546875,24404.48046875,338480000,7109.56982421875,7110.16015625,6979.81005859375,7020.35986328125,2380950000
2019-01-23,24577.25,24700.98046875,24307.169921875,24575.619140625,318600000,7061.64990234375,7084.85009765625,6953.22998046875,7025.77001953125,2274420000
2019-01-24,24579.9609375,24626.30078125,24422.73046875,24553.240234375,320170000,7042.25,7078.9599609375,7029.9501953125,7073.4599609375,2400290000
2019-01-25,24687.2109375,24860.150390625,24676.75,24737.19921875,376890000,7128.18017578125,7174.56005859375,7111.08984375,7164.85986328125,2440840000
2019-01-28,24596.98046875,24596.98046875,24323.939453125,24528.220703125,347170000,7075.009765625,7086.2998046875,7034.25,7085.68017578125,2435480000
2019-01-29,24519.619140625,24674.869140625,24504.0390625,24579.9609375,330870000,7087.490234375,7092.2900390625,7011.47021484375,7028.2900390625,2089690000
2019-01-30,24826.51953125,25109.619140625,24790.900390625,25014.859375,397330000,7094.7900390625,7201.31005859375,7065.56982421875,7183.080078125,2544050000
2019-01-31,24954.48046875,25049.619140625,24842.08984375,24999.669921875,507350000,7208.169921875,7303.1201171875,7205.9501953125,7281.740234375,2918710000
2019-02-01,25025.310546875,25193.150390625,24982.490234375,25063.890625,372090000,7256.3701171875,7299.93994140625,7243.41015625,7263.8701171875,2383430000
2019-02-04,25062.119140625,25239.91015625,24977.669921875,25239.369140625,298540000,7266.27978515625,7348.22998046875,7261.06982421875,7347.5400390625,2099470000
2019-02-05,25287.9296875,25427.3203125,25287.650390625,25411.51953125,310650000,7356.33984375,7408.68017578125,7355.35986328125,7402.080078125,2265520000
2019-02-06,25371.5703125,25439.0390625,25312.060546875,25390.30078125,247590000,7400.43994140625,7410.77001953125,7346.72021484375,7375.27978515625,2167130000
2019-02-07,25265.810546875,25314.259765625,25000.51953125,25169.529296875,295460000,7316.5,7336.740234375,7235.0498046875,7288.35009765625,2295080000
2019-02-08,25042.359375,25106.390625,24883.0390625,25106.330078125,248210000,7232.2998046875,7299.43994140625,7225.14013671875,7298.2001953125,2086260000
2019-02-11,25142.810546875,25196.75,25009.099609375,25053.109375,241700000,7327.3701171875,7343.56005859375,7290.02978515625,7307.89990234375,1897800000
2019-02-12,25152.029296875,25458.98046875,25152.029296875,25425.759765625,278110000,7358.85009765625,7419.43017578125,7349.7998046875,7414.6201171875,2124330000
2019-02-13,25480.859375,25625.94921875,25480.859375,25543.26953125,263330000,7437.4599609375,7461.66015625,7413.83984375,7420.3798828125,2093800000
2019-02-14,25460.650390625,25558.900390625,25308.08984375,25439.390625,313010000,7390.25,7454.419921875,7375.7099609375,7426.9501953125,2103370000
2019-02-15,25564.630859375,25883.720703125,25564.630859375,25883.25,328530000,7468.56982421875,7477.27978515625,7440.259765625,7472.41015625,2257750000
2019-02-19,25849.849609375,25961.439453125,25820.009765625,25891.3203125,280620000,7450.75,7507.7900390625,7450.27001953125,7486.77001953125,2120790000
2019-02-20,25872.259765625,25986.19921875,25846.48046875,25954.439453125,287880000,7490.31005859375,7513.7001953125,7455.25,7489.06982421875,2181760000
2019-02-21,25922.41015625,25938.880859375,25762.2109375,25850.630859375,255710000,7475.41015625,7485.75,7430.89013671875,7459.7099609375,2119080000
