date,UBS_x,UBS Financial Services Inc.,UBS Investment Bank,UBS Global Wealth Management,UBS Asset Management,Open,High,Low,Close,Volume,Dividends,Stock Splits,UBS_y,Union Bank of Switzerland,UBS tax evasion controversies,Banking in Switzerland,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Wiki_total,Google_total,Stock_total,Nas_total,Dow_total,Wiki_Moment_1,Wiki_Moment_2,Wiki_Moment_1_s,Wiki_Moment_2_s,Wiki_MAvg,Wiki_MAvg_s,Wiki_Disparity,Wiki_Disparity_s,Wiki_ROC,Wiki_ROC_s,Wiki_Rocp,Wiki_EMA,Wiki_diff,Wiki_gain,Wiki_loss,Wiki_avg_gain,Wiki_avg_loss,Wiki_rs,Wiki_RSI,Wiki_Move,Wiki_MAvg_Move,Wiki_MAvg_s_Move,Wiki_EMA_Move,Wiki_Disparity_Move,Wiki_Disparity_s_Move,Wiki_RSI_Move,Google_Moment_1,Google_Moment_2,Google_Moment_1_s,Google_Moment_2_s,Google_MAvg,Google_MAvg_s,Google_Disparity,Google_Disparity_s,Google_ROC,Google_ROC_s,Google_Rocp,Google_EMA,Google_diff,Google_gain,Google_loss,Google_avg_gain,Google_avg_loss,Google_rs,Google_RSI,Google_Move,Google_MAvg_Move,Google_MAvg_s_Move,Google_EMA_Move,Google_Disparity_Move,Google_Disparity_s_Move,Google_RSI_Move,Stock_Moment_1,Stock_Moment_2,Stock_Moment_1_s,Stock_Moment_2_s,Stock_MAvg,Stock_MAvg_s,Stock_Disparity,Stock_Disparity_s,Stock_ROC,Stock_ROC_s,Stock_Rocp,Stock_EMA,Stock_diff,Stock_gain,Stock_loss,Stock_avg_gain,Stock_avg_loss,Stock_rs,Stock_RSI,Stock_Move,Stock_MAvg_Move,Stock_MAvg_s_Move,Stock_EMA_Move,Stock_Disparity_Move,Stock_Disparity_s_Move,Stock_RSI_Move,Nas_Moment_1,Nas_Moment_2,Nas_Moment_1_s,Nas_Moment_2_s,Nas_MAvg,Nas_MAvg_s,Nas_Disparity,Nas_Disparity_s,Nas_ROC,Nas_ROC_s,Nas_Rocp,Nas_EMA,Nas_diff,Nas_gain,Nas_loss,Nas_avg_gain,Nas_avg_loss,Nas_rs,Nas_RSI,Nas_Move,Nas_MAvg_Move,Nas_MAvg_s_Move,Nas_EMA_Move,Nas_Disparity_Move,Nas_Disparity_s_Move,Nas_RSI_Move,Dow_Moment_1,Dow_Moment_2,Dow_Moment_1_s,Dow_Moment_2_s,Dow_MAvg,Dow_MAvg_s,Dow_Disparity,Dow_Disparity_s,Dow_ROC,Dow_ROC_s,Dow_Rocp,Dow_EMA,Dow_diff,Dow_gain,Dow_loss,Dow_avg_gain,Dow_avg_loss,Dow_rs,Dow_RSI,Dow_Move,Dow_MAvg_Move,Dow_MAvg_s_Move,Dow_EMA_Move,Dow_Disparity_Move,Dow_Disparity_s_Move,Dow_RSI_Move,target_1,target_2,target_3,target_4,target_5,Stoch_Oscillator_3,Stoch_Oscillator_14
2019-01-02,6.708333333333333,0.0,0.0,0.0,0.0,10.37824217916782,10.70017958453756,10.282508261186656,10.632403373718262,3210100.0,0.0,0.0,1402,117,29,399,23058.609375,23413.470703125,22928.58984375,23346.240234375,321570000,6506.91015625,6693.7099609375,6506.8798828125,6665.93994140625,2261800000,551.7083333333333,1402.0,10.632403373718262,6665.93994140625,23346.240234375,,,,,551.7083333333333,551.7083333333333,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,1402.0,1402.0,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,10.632403373718262,10.632403373718262,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,6665.93994140625,6665.93994140625,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,23346.240234375,23346.240234375,100.0,100.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,
2019-01-03,5.708333333333333,0.0,0.0,0.0,0.0,10.522265888529098,10.606986548457852,10.46550293326298,10.49685001373291,2534700.0,0.0,0.0,1556,126,15,421,23176.390625,23176.390625,22638.41015625,22686.220703125,424240000,6584.77001953125,6600.2099609375,6457.1298828125,6463.5,2607290000,567.7083333333334,1556.0,10.49685001373291,6463.5,22686.220703125,,,,,559.7083333333333,559.7083333333333,101.42931586391724,101.42931586391724,,,,557.0416666666666,16.000000000000114,16.0,0.0,,,,,1,1,1,0,1,1,0,,,,,1479.0,1479.0,105.20622041920215,105.20622041920215,,,,1453.3333333333333,154.0,154.0,0.0,,,,,1,1,1,0,1,1,0,,,,,10.564626693725586,10.564626693725586,99.35845646081438,99.35845646081438,,,,10.58721892038981,-0.13555335998535156,0.0,-0.14,,,,,0,0,0,0,0,0,0,,,,,6564.719970703125,6564.719970703125,98.45812203483398,98.45812203483398,,,,6598.4599609375,-202.43994140625,0.0,-202.44,,,,,0,0,0,0,0,0,0,,,,,23016.23046875,23016.23046875,98.56618673473457,98.56618673473457,,,,23126.233723958332,-660.01953125,0.0,-660.02,,,,,0,0,0,0,0,0,0,1,1,1,1,1,,
2019-01-04,14.791666666666666,0.0,0.0,0.0,0.0,10.734068110189446,10.937396750607718,10.687471660443352,10.878092765808104,2743500.0,0.0,0.0,1467,125,29,398,22894.919921875,23518.640625,22894.919921875,23433.16015625,396020000,6567.14013671875,6760.68994140625,6554.240234375,6738.85986328125,2579550000,566.7916666666666,1467.0,10.878092765808104,6738.85986328125,23433.16015625,,,,,562.0694444444445,562.0694444444445,100.84014925004323,100.84014925004323,,,,562.0694444444443,-0.9166666666667425,0.0,-0.92,,,,,0,1,1,1,0,0,0,,,,,1475.0,1475.0,99.45762711864407,99.45762711864407,,,,1475.0,-89.0,0.0,-89.0,,,,,0,0,0,1,0,0,0,,,,,10.66911538441976,10.66911538441976,101.9587132940142,101.9587132940142,,,,10.669115384419758,0.38124275207519354,0.38,0.0,,,,,1,1,1,1,1,1,0,,,,,6622.7666015625,6622.7666015625,101.75294206640713,101.75294206640713,,,,6622.7666015625,275.35986328125,275.36,0.0,,,,,1,1,1,1,1,1,0,,,,,23155.20703125,23155.20703125,101.20039144813033,101.20039144813033,,,,23155.20703125,746.939453125,746.94,0.0,,,,,1,1,1,1,1,1,0,0,1,1,1,1,,
2019-01-07,12.208333333333334,0.0,0.0,0.0,0.0,10.878092254210054,11.05600500819783,10.823023578380704,10.988228797912598,3163300.0,0.0,0.0,2017,130,37,418,23474.259765625,23687.740234375,23301.58984375,23531.349609375,334200000,6757.52978515625,6855.60009765625,6741.39990234375,6823.47021484375,2507550000,597.2083333333334,2017.0,10.988228797912598,6823.47021484375,23531.349609375,,,108.24711124537423,4550.000000000011,577.2361111111112,597.2083333333334,103.45997449532011,100.0,,8.247111245374237,,573.7824074074074,30.416666666666742,30.42,0.0,,,,,1,1,1,1,1,0,0,,,143.86590584878743,61500.0,1680.0,2017.0,120.05952380952381,100.0,,43.86590584878745,,1655.6666666666667,550.0,550.0,0.0,,,,,1,1,1,1,1,1,0,,,103.34661328852405,35.582542419433594,10.787723859151205,10.988228797912598,101.85863988900034,100.0,,3.346613288524061,,10.775486522250706,0.11013603210449396,0.11,0.0,,,,,1,1,1,1,0,0,0,,,102.36321171240957,15753.02734375,6675.276692708333,6823.47021484375,102.22003564732071,100.0,,2.363211712409568,,6689.667805989583,84.6103515625,84.61,0.0,,,,,1,1,1,1,1,0,0,,,100.79288730494362,18510.9375,23216.91015625,23531.349609375,101.35435529968811,100.0,,0.7928873049436242,,23280.587890625,98.189453125,98.19,0.0,,,,,1,1,1,1,1,0,0,1,1,1,1,0,,
2019-01-08,2.333333333333333,0.0,0.0,0.0,0.0,11.047532322183333,11.0898926538455,10.945868010967809,11.013644218444824,2384500.0,0.0,0.0,2023,146,39,422,23680.3203125,23864.650390625,23581.44921875,23787.44921875,317420000,6893.43994140625,6909.580078125,6795.85986328125,6897.0,2380290000,609.3333333333334,2023.0,11.013644218444824,6897.0,23787.44921875,,,107.33211009174313,4162.5,591.1111111111111,603.2708333333334,103.08270676691731,101.00493835687399,,7.332110091743119,,587.9351851851852,12.125,12.12,0.0,,,,,1,1,1,1,0,1,0,,,130.01285347043702,46700.0,1835.6666666666667,2020.0,110.2051933902306,100.14851485148515,,30.01285347043702,,1794.3333333333333,6.0,6.0,0.0,,,,,1,1,1,1,0,1,0,,,104.92332656021377,51.679420471191406,10.959988594055176,11.000936508178711,100.48955912617237,100.11551480418659,,4.923326560213759,,10.86303064558241,0.025415420532226562,0.03,0.0,,,,,1,1,1,1,0,1,0,,,106.70689255047574,43350.0,6819.776692708333,6860.235107421875,101.13234363486174,100.53591301176179,,6.706892550475748,,6749.184461805556,73.52978515625,73.53,0.0,,,,,1,1,1,1,0,1,0,,,104.85417350926727,110122.8515625,23583.986328125,23659.3994140625,100.86271628466118,100.54122170409529,,4.854173509267266,,23407.08984375,256.099609375,256.1,0.0,,,,,1,1,1,1,0,1,0,1,1,0,0,1,,
2019-01-09,9.083333333333334,0.0,0.0,0.0,0.0,11.081420668728756,11.13225322942838,10.954340478913904,10.979756355285645,3655200.0,0.0,0.0,2001,136,34,413,23844.26953125,24084.7109375,23703.16015625,23879.119140625,324570000,6923.06005859375,6985.22021484375,6899.56005859375,6957.080078125,2422590000,592.0833333333334,2001.0,10.979756355285645,6957.080078125,23879.119140625,107.31817838531835,4037.5000000000114,104.46225097404987,2529.1666666666742,599.5416666666666,599.5416666666666,98.75599416220724,98.75599416220724,7.318178385318351,4.462250974049856,14.664602683178494,591.4351851851852,-17.25,0.0,-17.25,,,,,0,1,0,1,0,0,0,142.7246790299572,59900.0,136.40081799591002,53400.0,2013.6666666666667,2013.6666666666667,99.37096507200795,99.37096507200795,42.7246790299572,36.400817995910025,3.340567612687813,1890.7777777777778,-22.0,0.0,-22.0,,,,,0,1,0,1,0,0,0,103.26692817567465,34.73529815673828,100.934571819401,10.166358947754084,10.993876457214355,10.993876457214355,99.87156393849192,99.87156393849192,3.26692817567464,0.9345718194009952,31.609794468269705,10.966577847798666,-0.03388786315917969,0.0,-0.03,,,,,0,1,0,1,0,0,0,104.36757815518709,29114.013671875,103.23823642679959,21822.021484375,6892.516764322917,6892.516764322917,100.93671609384074,100.93671609384074,4.367578155187083,3.238236426799583,23.895984100762256,6865.544487847222,60.080078125,60.08,0.0,,,,,1,1,1,1,0,1,0,102.28250416726796,53287.890625,101.90311072600275,44595.8984375,23732.639322916668,23732.639322916668,100.6172082915653,100.6172082915653,2.2825041672679665,1.9031107260027647,44.81153008789227,23682.363932291668,91.669921875,91.67,0.0,,,,,1,1,1,1,0,1,0,1,0,1,1,0,,
2019-01-10,6.416666666666667,0.0,0.0,0.0,0.0,11.030589570706471,11.157669768064176,11.022117342094308,11.098365783691406,2622300.0,0.0,0.0,2017,116,22,423,23811.109375,24014.779296875,23703.25,24001.919921875,338150000,6908.64990234375,6991.3701171875,6877.080078125,6986.06982421875,2179080000,567.4166666666667,2017.0,11.098365783691406,6986.06982421875,24001.919921875,99.94862385321102,-29.166666666662877,95.01151189562549,-2979.166666666663,591.5104166666667,589.6111111111112,95.92674121687065,96.23574861019503,-0.05137614678898415,-4.988488104374514,-1945.4285714288244,588.8333333333334,-24.66666666666663,0.0,-24.67,,,,,0,0,0,0,0,0,0,129.6272493573265,46100.0,100.0,0.0,2014.5,2013.6666666666667,100.12410027302062,100.16553550736633,29.62724935732648,0.0,4.375271149674621,2014.7777777777778,16.0,16.0,0.0,,,,,1,1,0,1,1,1,0,105.73044074338054,60.15157699584961,101.00231791496488,11.01369857788086,11.019998788833618,11.030588785807291,100.71113433276595,100.61444587592025,5.730440743380536,1.0023179149648849,18.45066470070632,11.028706232706705,0.11860942840576172,0.12,0.0,,,,,1,1,1,1,1,1,0,108.08493578121374,52256.982421875,102.3829459828414,16259.9609375,6915.905029296875,6946.716634114583,101.01454248756521,100.56650058116531,8.084935781213739,2.3829459828414206,13.36868204103257,6923.701117621528,28.98974609375,28.99,0.0,,,,,1,1,1,1,1,0,0,105.79955223026091,131569.921875,101.9997591311657,47057.03125,23799.95947265625,23889.49609375,100.84857476102336,100.47059941190813,5.799552230260917,1.9997591311656964,18.24271047654675,23822.399522569445,122.80078125,122.8,0.0,,,,,1,1,1,1,1,0,0,0,1,1,1,0,,
2019-01-11,13.166666666666666,0.0,0.0,0.0,0.0,11.056005910988215,11.233918679503656,11.03059003204493,11.166142463684082,2160300.0,0.0,0.0,1629,120,28,308,23940.009765625,23996.3203125,23798.16015625,23995.94921875,262650000,6947.4599609375,6975.64990234375,6933.60009765625,6971.47998046875,2066500000,469.16666666666663,1629.0,11.166142463684082,6971.47998046875,23995.94921875,82.77585826655884,-9762.5,76.99671772428883,-14016.666666666675,567.0416666666667,542.8888888888889,82.73936365640382,86.42038477282028,-17.224141733441154,-23.00328227571117,-4.805804524114383,550.7291666666667,-98.25000000000011,0.0,-98.25,,,,,0,0,0,0,0,0,0,111.04294478527608,16200.0,80.5239742956006,-39400.0,1937.4,1882.3333333333333,84.08175905853204,86.5415264742341,11.042944785276074,-19.476025704399408,10.055555555555555,1886.0,-388.0,0.0,-388.0,,,,,0,0,0,0,0,0,0,102.64797978908004,28.804969787597834,101.38463021153221,15.249824523925781,11.049227523803712,11.081421534220377,101.05812772547671,100.7645312399865,2.6479797890800567,1.3846302115322122,38.76463869263191,11.068713347117106,0.06777667999267578,0.07,0.0,,,,,1,1,1,1,1,1,0,103.45192097635095,23262.01171875,101.07988952397781,7447.998046875,6927.02001953125,6971.543294270833,100.64183387390453,99.99909182516107,3.451920976350944,1.0798895239778163,29.96937695998791,6934.430013020833,-14.58984375,0.0,-14.59,,,,,0,1,1,1,0,0,0,102.40167804405115,56278.90625,100.87651264363248,20850.0,23839.157421875,23958.99609375,100.6577069570887,100.15423486382903,2.401678044051157,0.8765126436324828,42.63755431236726,23865.289388020832,-5.970703125,0.0,-5.97,,,,,0,1,1,1,0,0,0,0,0,1,1,1,,
2019-01-14,16.041666666666668,0.0,0.0,0.0,0.0,11.039060034912186,11.293221215562657,11.039060034912186,11.233917236328123,2759300.0,0.0,0.0,1591,147,25,427,23880.529296875,23964.900390625,23765.240234375,23909.83984375,277560000,6908.02978515625,6936.22021484375,6887.47998046875,6905.919921875,1942210000,615.0416666666666,1591.0,11.233917236328123,6905.919921875,23909.83984375,102.986115956185,1783.3333333333258,103.87755102040815,2295.8333333333258,550.5416666666666,615.0416666666666,111.71573450389766,100.0,2.9861159561850146,3.8775510204081503,34.48831775700949,583.0416666666667,145.875,145.88,0.0,,,,,1,0,1,1,1,1,0,78.8795240456123,-42600.0,79.51024487756122,-41000.0,1745.6666666666667,1591.0,91.13996562917701,100.0,-21.120475954387704,-20.48975512243878,-3.734741784037559,1821.9333333333334,-38.0,0.0,-38.0,,,,,0,0,0,0,1,1,0,102.2359239412834,24.568843841552557,102.31481348782503,25.41608810424787,11.166141827901205,11.233917236328123,100.60697248406399,100.0,2.235923941283406,2.3148134878250364,45.724240459897146,11.110790761311849,0.06777477264404119,0.07,0.0,,,,,1,1,1,1,0,0,0,101.20832515472684,8244.970703125,99.26463177546479,-5116.015625,6954.489908854167,6905.919921875,99.30160245229014,100.0,1.2083251547268314,-0.7353682245352011,83.75918084533066,6919.986653645833,-65.56005859375,0.0,-65.56,,,,,0,1,0,0,0,1,0,101.60845102664322,37849.0234375,100.12865090602415,3072.0703125,23969.236328125,23909.83984375,99.75219700969235,100.0,1.6084510266432306,0.1286509060241488,63.171616259088594,23862.718229166665,-86.109375,0.0,-86.11,,,,,0,1,0,0,0,0,0,0,1,0,1,0,,
2019-01-15,9.625,0.0,0.0,0.0,0.0,11.098366005335537,11.208501747668418,11.056005669384932,11.200030326843262,2680400.0,0.0,0.0,1664,148,29,468,23914.109375,24099.140625,23887.9296875,24065.58984375,291570000,6931.39013671875,7025.85009765625,6928.1201171875,7023.830078125,2038090000,654.625,1664.0,11.200030326843262,7023.830078125,24065.58984375,107.43298687089715,4529.166666666662,115.36936407695694,8720.833333333325,579.611111111111,634.8333333333333,112.94210677657436,103.1176161722237,7.432986870897149,15.369364076956954,14.45354185832568,585.2361111111111,39.58333333333337,39.58,0.0,,,,,1,1,1,1,1,1,0,82.25407810182897,-35900.0,82.4987605354487,-35300.0,1628.0,1627.5,102.21130221130221,102.24270353302612,-17.745921898171034,-17.501239464551315,-4.635097493036212,1718.4444444444446,73.0,73.0,0.0,,,,,1,0,1,0,1,1,0,101.69232004141094,18.63861083984375,100.91603164946363,10.166454315185547,11.200030008951822,11.216973781585693,100.00000283830882,99.84894807572567,1.692320041410926,0.9160316494636296,60.09047789602947,11.177437994215223,-0.033886909484861505,0.0,-0.03,,,,,0,1,0,1,0,0,0,101.8389166032333,12683.0078125,100.5405078228011,3776.025390625,6967.07666015625,6964.875,100.81459442370306,100.84646283135017,1.8389166032332898,0.5405078228011087,55.3798450806166,6977.603298611111,117.91015625,117.91,0.0,,,,,1,1,1,1,1,1,0,101.16927469793929,27814.0625,100.26527012039972,6366.9921875,23990.459635416668,23987.71484375,100.31316702337132,100.32464534661705,1.1692746979392856,0.2652701203997109,86.52310263468344,24001.354166666668,155.75,155.75,0.0,,,,,1,1,1,1,1,1,0,1,1,1,1,0,,
