date,Ford,F-150,Ford Bronco_x,Ford Mustang_x,Ford Stock,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ford Motor Company,Ford Mustang_y,Ford F Series,Ford Bronco_y,Lincoln Navigator,Lincoln Aviator,Ford GT
2021-01-01,26.130434782608695,0.0,0.0,0.9565217391304348,1.3478260869565217,,,,,,,,4819,3186,6.0,1724,653,766,1967
2021-01-02,21.791666666666668,0.0,0.0,0.0,0.0,,,,,,,,5138,3312,4.0,1667,779,1209,1915
2021-01-03,15.708333333333334,0.0,2.0,0.0,0.0,,,,,,,,5356,3576,12.0,1774,746,1109,1842
2021-01-04,23.666666666666668,0.0,2.8333333333333335,1.9583333333333333,0.0,8.663383831775043,8.692884307280297,8.289707703430052,8.378210067749023,85043100.0,0.0,0.0,5467,3276,7.0,1574,728,734,1640
2021-01-05,18.416666666666668,0.0,1.75,0.5833333333333334,0.0,8.329042493490533,8.574881992631786,8.3192086884521,8.506046295166016,70127800.0,0.0,0.0,5402,3294,12.0,1613,676,704,1510
2021-01-06,30.5,0.0,0.0,0.8333333333333334,0.0,8.64371541175262,8.791218713239985,8.535546386515426,8.692883491516113,72590200.0,0.0,0.0,5156,3110,16.0,1524,609,623,1414
2021-01-07,25.708333333333332,0.75,0.0,0.0,0.5833333333333334,8.791218834660782,8.928889272339392,8.732217888372185,8.909222602844238,77117100.0,0.0,0.0,5001,2952,8.0,1450,603,551,1402
2021-01-08,13.75,0.0,0.0,0.5833333333333334,0.0,8.948556840694032,8.987891117316293,8.74205165397638,8.850220680236816,59162200.0,0.0,0.0,5044,3024,7.0,1659,580,568,1443
2021-01-09,25.208333333333332,0.0,0.9166666666666666,0.4583333333333333,0.5833333333333334,,,,,,,,5163,3548,5.0,2315,1181,737,1633
2021-01-10,18.75,0.0,0.4583333333333333,0.0,0.0,,,,,,,,5364,3519,5.0,2176,1190,644,1525
2021-01-11,21.083333333333332,0.0,0.0,1.0833333333333333,0.0,8.722385110967437,9.164896011408674,8.673217024739913,9.14522933959961,95968300.0,0.0,0.0,5419,3321,8.0,1964,866,797,1463
2021-01-12,37.458333333333336,0.0,0.375,0.0,0.75,9.145228612555757,9.656574230381706,9.135394808531387,9.617239952087402,124808500.0,0.0,0.0,9893,3051,6.0,2540,789,643,1454
2021-01-13,32.416666666666664,0.0,1.5416666666666667,0.75,0.0,9.745076590994682,9.754910395019051,9.479570446958924,9.617239952087402,89549300.0,0.0,0.0,5685,2998,4.0,1819,661,556,1355
2021-01-14,22.791666666666668,0.0,1.0,0.7916666666666666,1.6666666666666667,9.646741093303651,10.03025006145433,9.627073485807133,10.000749588012695,112695300.0,0.0,0.0,5162,3001,3.0,1851,741,561,1365
2021-01-15,30.041666666666668,0.0,1.6666666666666667,1.9583333333333333,1.2083333333333333,9.872913745090097,9.882747549627613,9.656574734280845,9.66640853881836,99985000.0,0.0,0.0,4827,3235,4.0,1883,590,581,1579
2021-01-16,25.333333333333332,0.0,1.0,0.5833333333333334,0.0,,,,,,,,4467,3167,8.0,1929,696,676,1514
2021-01-17,19.541666666666668,0.0,0.5833333333333334,0.625,0.5416666666666666,,,,,,,,4641,3356,8.0,2727,673,767,1849
2021-01-18,22.75,0.0,0.0,0.0,0.8333333333333334,,,,,,,,4873,3114,6.0,1990,675,760,1628
2021-01-19,19.666666666666668,0.5,0.0,0.6666666666666666,0.4583333333333333,9.89258096765279,10.040084278739561,9.804078605879457,9.853246688842773,78732800.0,0.0,0.0,4735,3216,8.0,1772,601,627,1415
2021-01-20,28.958333333333332,0.0,1.4166666666666667,1.2083333333333333,2.4166666666666665,10.059750414286528,10.689099779582508,10.020416137568224,10.679265975952148,125033200.0,0.0,0.0,4817,2843,8.0,1618,786,586,1204
2021-01-21,28.708333333333332,0.0,1.2916666666666667,0.0,0.5,11.092277163844257,11.947798448559059,10.934940045432782,11.338116645812988,282394100.0,0.0,0.0,5167,3045,8.0,1752,651,554,1292
2021-01-22,27.125,0.0,2.0,0.0,0.5416666666666666,11.465952813941348,11.495453287970502,11.151278590155277,11.328283309936523,130866600.0,0.0,0.0,5036,3254,25.0,2284,690,594,1520
2021-01-23,20.958333333333332,0.0,1.5416666666666667,1.625,0.0,,,,,,,,4673,3267,6.0,1976,719,753,1518
2021-01-24,20.666666666666668,0.0,0.8333333333333334,0.0,0.0,,,,,,,,4880,3275,12.0,2563,689,868,1549
2021-01-25,25.875,0.0,1.375,0.0,0.0,11.298782258878012,11.328283671652317,10.698934266181679,11.102110862731934,118954500.0,0.0,0.0,5134,3187,7.0,2022,666,715,1504
2021-01-26,23.875,0.5416666666666666,0.5833333333333334,0.875,0.5833333333333334,11.12177745396735,11.338115501038548,10.93493894136583,11.00377368927002,66267500.0,0.0,0.0,5035,3137,10.0,1750,553,585,1382
2021-01-27,23.875,0.0,1.4583333333333333,2.0833333333333335,0.0,10.836605449113668,10.984108771800463,10.521930256083516,10.610432624816895,82863000.0,0.0,0.0,5037,3161,5.0,1809,626,566,1398
2021-01-28,24.625,0.0,0.0,0.0,3.4583333333333335,10.65960020645052,10.866105411106966,10.531763561872413,10.541597366333008,77388700.0,0.0,0.0,4823,3246,5.0,1605,593,590,1276
2021-01-29,27.0,0.875,2.375,1.7916666666666667,0.0,10.413760148345839,10.659599619504888,10.276089706887634,10.354758262634277,73925800.0,0.0,0.0,4722,3500,9.0,1610,675,537,1277
2021-01-30,28.541666666666668,0.0,1.5,1.5416666666666667,0.0,,,,,,,,4629,3338,6.0,1795,651,746,1380
2021-01-31,16.916666666666668,0.0,0.875,0.625,0.0,,,,,,,,4836,3514,10.0,1869,597,722,1677
2021-02-01,21.666666666666668,0.0,0.5416666666666666,0.5,2.0833333333333335,10.472761246452658,11.249613948944607,10.187587493330378,10.649765968322754,157114400.0,0.0,0.0,4972,3399,10.0,1900,622,540,1345
2021-02-02,24.458333333333332,0.0,0.875,1.0833333333333333,1.375,10.954606850783401,11.01360779695929,10.531762672709295,10.679265975952148,80440700.0,0.0,0.0,4847,3111,4.0,1657,576,571,1354
