date,Ford,F-150,Ford Bronco_x,Ford Mustang_x,Ford Stock,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ford Motor Company,Ford Mustang_y,Ford F Series,Ford Bronco_y,Lincoln Navigator,Lincoln Aviator,Ford GT
2022-01-29,16.875,0.0,0.0,0.0,0.875,,,,,,,,5043,2921,5.0,1656,580,758,1554
2022-01-30,29.25,0.0,1.125,0.0,0.0,,,,,,,,5188,2867,3.0,1765,621,646,1871
2022-01-31,25.333333333333332,0.0,1.4166666666666667,0.0,0.7083333333333334,19.450588144913294,20.195631105359016,19.241977025464763,20.165828704833984,91361900.0,0.0,0.0,5296,2792,6.0,1579,537,575,1271
2022-02-01,35.791666666666664,0.0,4.333333333333333,0.0,0.875,20.473782076416203,20.712195607068654,19.788341991576463,20.52345085144043,117651800.0,0.0,0.0,5267,2601,7.0,1472,578,466,1235
2022-02-02,25.083333333333332,0.0,0.0,0.7083333333333334,0.875,20.67245915142106,20.91087268299805,20.046623867874246,20.493648529052734,95377600.0,0.0,0.0,5064,2721,6.0,1509,470,409,1267
2022-02-03,31.583333333333332,0.0,0.75,1.8333333333333333,1.5,20.03668926080616,20.48371580617245,19.738672827056817,19.7585391998291,103016000.0,0.0,0.0,5187,2624,4.0,1528,575,450,1315
2022-02-04,25.458333333333332,0.0,1.0416666666666667,1.0416666666666667,2.5416666666666665,18.397595372949425,18.46713241559383,17.404204718618363,17.84129524230957,211100500.0,0.0,0.0,5560,2587,8.0,1515,498,420,1322
2022-02-05,14.083333333333334,0.0,0.0,0.4166666666666667,0.0,,,,,,,,5131,2736,1.0,1727,627,462,1262
2022-02-06,14.041666666666666,0.7083333333333334,0.75,0.5,0.0,,,,,,,,4713,2759,5.0,1594,643,523,1294
2022-02-07,13.291666666666666,0.375,0.0,0.5833333333333334,0.0,17.61281478234457,18.00023840254942,17.58301427715033,17.771757125854492,84610000.0,0.0,0.0,5445,2803,8.0,1577,528,432,1237
2022-02-08,18.625,0.0,0.4583333333333333,1.0,1.7083333333333333,17.463806402371652,17.791625219516735,16.907508205495006,17.602880477905273,142694300.0,0.0,0.0,5094,2686,2.0,1443,517,427,1152
2022-02-09,19.875,0.0,0.6666666666666666,1.0,0.4166666666666667,18.14924663211531,18.30818897579485,17.910833116596002,18.228717803955078,87118600.0,0.0,0.0,4999,2588,1.0,1438,522,431,1215
2022-02-10,15.875,0.0,0.4166666666666667,1.5416666666666667,1.0416666666666667,17.85122904822554,18.50686671645805,17.801560274318522,17.96050262451172,76195300.0,0.0,0.0,5689,2580,3.0,1465,503,454,1239
2022-02-11,19.25,0.0,0.0,1.0416666666666667,0.625,17.980369782944887,18.238651559763618,17.30486388891777,17.434003829956055,94534100.0,0.0,0.0,5036,2610,4.0,1496,590,462,1189
2022-02-12,9.916666666666666,0.0,0.0,0.0,0.0,,,,,,,,4721,2667,4.0,1566,542,492,1290
2022-02-13,20.833333333333332,0.5,0.0,1.5,0.0,,,,,,,,5280,3126,3.0,1720,539,480,1319
2022-02-14,14.208333333333334,0.0,0.0,0.0,0.5833333333333334,17.394269436424533,17.61281468384289,17.17572418900618,17.3445987701416,78625000.0,0.0,0.0,5024,3119,3.0,1474,523,478,1174
2022-02-15,17.333333333333332,0.0,1.625,0.0,0.0,17.682352564302487,18.01017139841874,17.602881389205887,17.96050262451172,65883300.0,0.0,0.0,4854,2710,10.0,1324,536,356,1174
2022-02-16,17.0,0.0,0.0,0.5,0.0,17.771756805203932,18.089641486488276,17.622748597694663,17.89096450805664,57442100.0,0.0,0.0,5179,2700,7.0,1374,559,404,1104
2022-02-17,23.25,0.0,1.2916666666666667,1.4166666666666667,0.5,17.741956958701568,17.82142813197071,17.384335731619313,17.424072265625,55368600.0,0.0,0.0,4949,2936,5.0,1415,585,376,1094
2022-02-18,17.875,0.0,1.625,1.5833333333333333,0.0,17.483674448185607,18.357857317960917,17.45387204891496,17.920766830444336,106404200.0,0.0,0.0,4863,7349,7.0,1462,441,346,1076
2022-02-19,19.666666666666668,0.0,0.8333333333333334,0.7083333333333334,1.875,,,,,,,,4638,3291,5.0,1547,543,466,1125
2022-02-20,26.583333333333332,0.0,1.0833333333333333,0.0,0.0,,,,,,,,5151,3156,1.0,1523,517,456,1186
2022-02-21,28.166666666666668,0.0,0.7083333333333334,0.9583333333333334,1.125,,,,,,,,4932,2877,6.0,1494,491,417,1223
2022-02-22,19.666666666666668,0.0,1.875,0.0,0.6666666666666666,17.553211616075668,17.642616919812696,16.957176889409546,17.175724029541016,98550700.0,0.0,0.0,4882,2806,4.0,1558,501,399,1147
2022-02-23,24.208333333333332,0.9166666666666666,2.2083333333333335,0.9166666666666666,0.0,17.384336752457216,17.61281615217992,16.768433702397818,16.83797264099121,79855400.0,0.0,0.0,5033,2595,2.0,1661,514,407,1207
