date,Ford,F-150,Ford Bronco_x,Ford Mustang_x,Ford Stock,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ford Motor Company,Ford Mustang_y,Ford F Series,Ford Bronco_y,Lincoln Navigator,Lincoln Aviator,Ford GT
2019-01-01,14.043478260869565,0.0,0.0,1.2173913043478262,0.0,,,,,,,,5163,3279,15,1372,668,329,1290
2019-01-02,19.416666666666668,0.5,0.0,0.5416666666666666,0.0,6.827570199135294,7.271861168231271,6.782234235961247,7.163054943084717,47494400.0,0.0,0.0,5648,3804,24,1597,710,341,1466
2019-01-03,23.041666666666668,0.5,1.0833333333333333,1.5,0.4583333333333333,7.226524423906906,7.244658721830099,7.054248809814453,7.054248809814453,39172400.0,0.0,0.0,6290,3792,11,1549,678,334,1375
2019-01-04,19.208333333333332,0.0,0.5,0.7916666666666666,1.2083333333333333,7.172121676072932,7.3625320243187415,7.117718781196382,7.326263427734375,43039800.0,0.0,0.0,6227,3800,15,1387,679,303,1390
2019-01-05,24.0,0.0,0.6666666666666666,1.875,0.0,,,,,,,,6131,3872,22,3319,761,339,1490
2019-01-06,17.833333333333332,0.0,0.0,1.0416666666666667,0.0,,,,,,,,6778,3910,15,1587,734,445,1470
2019-01-07,21.708333333333332,0.0,1.3333333333333333,0.75,0.0,7.353464918992021,7.589211237481485,7.280927723258583,7.516674041748047,40729400.0,0.0,0.0,6110,3760,25,1507,727,444,1277
2019-01-08,20.916666666666668,0.0,0.625,1.125,0.4166666666666667,7.6345464694209335,7.743352252594899,7.571076645413996,7.589210510253906,45644000.0,0.0,0.0,6482,3583,11,1530,721,403,1271
2019-01-09,21.5,0.5833333333333334,1.625,0.4583333333333333,0.5833333333333334,7.661748175598955,7.951897813488397,7.580143616964786,7.906561851501465,48404900.0,0.0,0.0,6431,3587,13,1438,749,343,1345
2019-01-10,16.75,0.0,0.375,0.0,0.375,7.897493242271442,7.951896561029308,7.661746968839718,7.86122465133667,39490400.0,0.0,0.0,7099,3780,39,1583,793,813,1335
2019-01-11,22.166666666666668,0.0,1.25,1.1666666666666667,0.0,7.9518973425433455,8.09697172054037,7.888426653636021,7.997232437133789,41559900.0,0.0,0.0,6630,3887,10,1448,796,556,1443
2019-01-12,14.541666666666666,0.4583333333333333,1.2083333333333333,0.0,0.0,,,,,,,,5726,4082,15,1564,811,595,1332
2019-01-13,18.75,0.0,1.25,0.4166666666666667,0.0,,,,,,,,6296,3930,23,1631,947,751,1353
2019-01-14,23.166666666666668,0.7916666666666666,1.5416666666666667,2.7083333333333335,0.375,7.979099195739056,8.214845510761554,7.942830598405715,8.151374816894531,44833800.0,0.0,0.0,6683,4420,6,1825,735,650,1728
2019-01-15,30.833333333333332,0.5,4.083333333333333,1.5416666666666667,0.4583333333333333,8.178577595577462,8.187644097133328,7.9337638946246,8.015368461608887,65311700.0,0.0,0.0,6685,4636,9,1904,753,589,1647
2019-01-16,19.25,0.0,0.0,0.5416666666666666,0.4583333333333333,7.870293519482242,7.951898080860255,7.489472809525903,7.516674041748047,73869900.0,0.0,0.0,6521,4349,10,1764,722,510,1610
2019-01-17,19.375,0.0,0.6666666666666666,0.0,0.0,7.498540702954886,7.652681606203955,7.444137369969841,7.58014440536499,56722600.0,0.0,0.0,6742,4309,7,1739,688,537,1528
2019-01-18,17.833333333333332,0.0,0.0,0.0,0.5416666666666666,7.607345510946426,7.797755854465347,7.55294218506465,7.779621124267578,51127900.0,0.0,0.0,6263,4373,7,1820,731,485,1487
2019-01-19,18.833333333333332,0.0,1.3333333333333333,0.625,0.0,,,,,,,,5918,4391,8,1693,802,538,2164
2019-01-20,16.0,0.4583333333333333,0.5833333333333334,0.8333333333333334,0.0,,,,,,,,5997,4706,6,2555,758,531,2735
2019-01-21,22.0,0.5,0.5,0.5416666666666666,0.7083333333333334,,,,,,,,6113,3998,9,1732,787,525,1751
2019-01-22,27.791666666666668,0.0,0.9583333333333334,2.0416666666666665,1.125,7.743352775766332,7.806822604061542,7.67081558208279,7.7070841789245605,47182600.0,0.0,0.0,6468,3987,5,1629,810,638,1614
2019-01-23,18.791666666666668,0.0,0.0,0.0,0.7083333333333334,7.743352796086095,7.743352796086095,7.507606483640171,7.562009811401367,45196900.0,0.0,0.0,6193,4043,4,1661,733,644,1558
2019-01-24,32.625,0.0,0.0,0.0,0.0,7.5438733042305905,7.870291464513378,7.4532022655942045,7.797754287719727,79516400.0,0.0,0.0,6769,3921,20,1585,775,524,1625
2019-01-25,32.125,0.0,1.7083333333333333,1.125,0.5416666666666666,7.924695833525874,8.124173550362785,7.915628468053386,8.033501625061035,53098800.0,0.0,0.0,6239,3959,13,1561,790,442,1641
2019-01-26,26.833333333333332,0.0,0.0,2.375,0.0,,,,,,,,6441,3801,16,1670,820,472,1709
2019-01-27,24.416666666666668,0.875,2.7916666666666665,0.0,0.0,,,,,,,,6443,3734,10,1740,762,486,1960
2019-01-28,19.458333333333332,0.625,0.0,0.5416666666666666,1.3333333333333333,7.979099551974789,7.979099551974789,7.779621825379727,7.852159023284912,42116300.0,0.0,0.0,6369,3704,3,1565,641,407,1701
2019-01-29,22.208333333333332,0.0,1.4583333333333333,1.0833333333333333,0.0,7.897494125835929,7.970031315820868,7.815889570924995,7.9428300857543945,30485000.0,0.0,0.0,6898,3714,12,1429,659,330,1370
2019-01-30,16.041666666666668,0.7083333333333334,1.5,0.0,0.0,7.988957022397414,8.044308151968954,7.859805853024418,8.035082817077637,29906100.0,0.15,0.0,6310,3525,8,1515,700,380,1310
2019-01-31,17.5,0.0,2.625,0.0,0.0,7.952054378706357,8.136556626980356,7.933604593767016,8.118106842041016,39389100.0,0.0,0.0,5912,3529,6,1627,644,337,1312
