date,Netflix. Inc,Netflix_x,Netflix Stock,Streaming media,Reed Hastings_x,Open,High,Low,Close,Volume,Dividends,Stock Splits,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Netflix_y,Reed Hastings_y
2022-01-01,0.0,26.47826086956522,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,31930,1661
2022-01-02,0.0,27.375,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,33952,1860
2022-01-03,0.0,22.416666666666668,0.2916666666666667,0.0,0.0,605.6099853515625,609.989990234375,590.5599975585938,597.3699951171875,3067500.0,0.0,0.0,36321.58984375,36595.8203125,36246.44921875,36585.05859375,347930000.0,15732.5,15832.7998046875,15644.08984375,15832.7998046875,4412130000.0,32248,1781
2022-01-04,0.0,19.833333333333332,0.2916666666666667,0.0,0.0,599.9099731445312,600.4099731445312,581.5999755859375,591.1500244140625,4393100.0,0.0,0.0,36636.0,36934.83984375,36636.0,36799.6484375,435080000.0,15852.1396484375,15852.1396484375,15512.41015625,15622.7197265625,5109270000.0,36049,1772
2022-01-05,0.0,22.833333333333332,0.0,0.0,0.0,592.0,592.8400268554688,566.8800048828125,567.52001953125,4148700.0,0.0,0.0,36722.6015625,36952.6484375,36400.390625,36407.109375,462040000.0,15547.16015625,15586.2998046875,15095.1796875,15100.169921875,5011990000.0,33558,1693
2022-01-06,0.0,19.708333333333332,0.0,0.0,0.0,554.3400268554688,563.3599853515625,542.010009765625,553.2899780273438,5711800.0,0.0,0.0,36409.05078125,36464.19140625,36200.6796875,36236.46875,385890000.0,15024.150390625,15198.4501953125,14914.8701171875,15080.8603515625,4774740000.0,32650,1797
2022-01-07,0.0,21.791666666666668,0.0,0.0,0.0,549.4600219726562,553.4299926757812,538.219970703125,541.0599975585938,3382900.0,0.0,0.0,36249.58984375,36382.83984375,36111.53125,36231.66015625,356110000.0,15095.7197265625,15171.01953125,14877.6298828125,14935.900390625,4229270000.0,33346,1708
2022-01-08,0.0,38.875,0.5416666666666666,0.0,0.0,,,,,,,,,,,,,,,,,,36134,1845
2022-01-09,0.0,37.916666666666664,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,36408,1958
2022-01-10,0.0,25.291666666666668,0.0,0.0,0.0,538.489990234375,543.6900024414062,526.3200073242188,539.8499755859375,4486100.0,0.0,0.0,36175.2109375,36175.2109375,35639.91015625,36068.87109375,430680000.0,14751.7802734375,14953.849609375,14530.23046875,14942.830078125,5303230000.0,35185,1928
2022-01-11,0.0,29.041666666666668,0.375,0.0,0.0,536.989990234375,543.9099731445312,530.0700073242188,540.8400268554688,3077800.0,0.0,0.0,36058.8515625,36271.46875,35769.37890625,36252.01953125,356850000.0,14919.259765625,15158.7099609375,14837.6298828125,15153.4501953125,4378660000.0,33360,1762
