date,Netflix. Inc,Netflix_x,Netflix Stock,Streaming media,Reed Hastings_x,Open,High,Low,Close,Volume,Dividends,Stock Splits,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Netflix_y,Reed Hastings_y
2021-01-01,0.0,49.78260869565217,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,35207,2033
2021-01-02,0.0,48.875,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,32935,2566
2021-01-03,0.0,41.791666666666664,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,31394,2587
2021-01-04,0.0,30.75,0.0,0.0,0.0,539.0,540.7999877929688,515.0900268554688,522.8599853515625,4444400.0,0.0,0.0,30627.470703125,30674.279296875,29881.8203125,30223.890625,475080000.0,12958.51953125,12958.7197265625,12543.240234375,12698.4501953125,6546740000.0,28889,2151
2021-01-05,0.0,30.916666666666668,0.0,0.0,0.0,521.5499877929688,526.780029296875,515.8900146484375,520.7999877929688,3133900.0,0.0,0.0,30204.25,30504.890625,30141.779296875,30391.599609375,350910000.0,12665.650390625,12828.26953125,12665.650390625,12818.9599609375,6904420000.0,27969,2316
2021-01-06,0.0,23.791666666666668,0.0,0.0,0.0,511.9700012207031,513.0999755859375,499.5,500.489990234375,5346200.0,0.0,0.0,30362.779296875,31022.650390625,30313.0703125,30829.400390625,500430000.0,12666.150390625,12909.6298828125,12649.990234375,12740.7900390625,7648340000.0,27611,2236
2021-01-07,0.0,24.458333333333332,0.7083333333333334,0.0,0.0,508.2799987792969,516.4400024414062,506.4200134277344,508.8900146484375,3686400.0,0.0,0.0,30901.1796875,31193.400390625,30897.859375,31041.130859375,427810000.0,12867.33984375,13090.91015625,12867.33984375,13067.48046875,6777010000.0,27071,1989
2021-01-08,0.0,25.125,0.0,0.0,0.0,511.30999755859375,513.239990234375,504.510009765625,510.3999938964844,2973900.0,0.0,0.0,31069.580078125,31140.669921875,30793.26953125,31097.970703125,381150000.0,13160.2197265625,13208.08984375,13036.5498046875,13201.98046875,7223660000.0,28090,1924
2021-01-09,0.0,36.958333333333336,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,28758,1940
2021-01-10,0.0,32.375,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,28037,2191
2021-01-11,0.0,32.0,0.0,0.0,0.0,507.8399963378906,510.7300109863281,497.95001220703125,499.1000061035156,3806200.0,0.0,0.0,31015.369140625,31096.98046875,30832.060546875,31008.689453125,356540000.0,13048.7802734375,13138.26953125,12999.509765625,13036.4296875,6876420000.0,26662,2225
2021-01-12,0.0,29.041666666666668,0.0,0.0,0.0,500.0,501.0899963378906,485.6700134277344,494.25,5990400.0,0.0,0.0,31015.009765625,31114.560546875,30888.759765625,31068.689453125,362620000.0,13062.0595703125,13105.0400390625,12963.919921875,13072.4296875,7181380000.0,26792,2234
2021-01-13,0.0,29.291666666666668,0.0,0.0,0.0,495.5,512.3499755859375,493.010009765625,507.7900085449219,5032100.0,0.0,0.0,31084.880859375,31153.369140625,30992.05078125,31060.470703125,413250000.0,13088.009765625,13171.150390625,13051.0595703125,13128.9501953125,7072920000.0,26293,2349
2021-01-14,0.0,32.333333333333336,0.5,0.0,0.0,507.3500061035156,514.5,499.5799865722656,500.8599853515625,4177400.0,0.0,0.0,31085.669921875,31223.779296875,30982.240234375,30991.51953125,427810000.0,13174.75,13220.16015625,13098.41015625,13112.6396484375,6671090000.0,24169,1950
2021-01-15,0.0,28.791666666666668,0.4583333333333333,0.0,0.0,500.0,506.32000732421875,495.1000061035156,497.9800109863281,5895800.0,0.0,0.0,30926.76953125,30941.98046875,30612.669921875,30814.259765625,433000000.0,13099.900390625,13139.830078125,12949.759765625,12998.5,6402970000.0,17351,1877
2021-01-16,0.0,31.375,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,16348,1992
2021-01-17,0.0,19.291666666666668,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,16026,2180
2021-01-18,0.0,26.791666666666668,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,15913,1961
2021-01-19,0.0,34.666666666666664,0.4583333333333333,0.0,0.0,501.0,509.25,493.5400085449219,501.7699890136719,12315800.0,0.0,0.0,30887.419921875,31086.619140625,30865.029296875,30930.51953125,386400000.0,13132.73046875,13206.8603515625,13078.7001953125,13197.1796875,6229100000.0,15677,2442
2021-01-20,0.0,31.291666666666668,1.375,0.0,0.0,565.4199829101562,593.2899780273438,556.8599853515625,586.3400268554688,32637500.0,0.0,0.0,31017.5390625,31235.98046875,30997.7890625,31188.380859375,384980000.0,13342.5498046875,13486.1298828125,13329.76953125,13457.25,6771630000.0,18643,3407
2021-01-21,0.0,32.041666666666664,0.0,0.0,0.0,582.4500122070312,588.75,570.4000244140625,579.8400268554688,11802100.0,0.0,0.0,31198.009765625,31272.220703125,31120.919921875,31176.009765625,418780000.0,13521.48046875,13560.349609375,13454.0703125,13530.91015625,7183390000.0,18053,2570
2021-01-22,0.0,31.583333333333332,0.0,0.0,0.0,582.0999755859375,583.989990234375,564.3499755859375,565.1699829101562,7550800.0,0.0,0.0,31141.560546875,31141.560546875,30908.470703125,30996.98046875,436040000.0,13474.8095703125,13567.1396484375,13463.66015625,13543.0595703125,5931240000.0,24173,2096
2021-01-23,0.0,37.625,1.2083333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,23855,1947
2021-01-24,0.0,39.25,0.0,0.0,0.7083333333333334,,,,,,,,,,,,,,,,,,23863,1934
2021-01-25,0.0,29.5,0.0,0.0,0.0,567.0,569.75,548.6500244140625,556.780029296875,7207300.0,0.0,0.0,30989.849609375,30989.849609375,30564.060546875,30960.0,472890000.0,13681.2099609375,13728.98046875,13368.6796875,13635.990234375,7139410000.0,23107,1842
2021-01-26,0.0,33.583333333333336,0.0,0.0,0.0,554.72998046875,567.989990234375,554.0599975585938,561.9299926757812,5023800.0,0.0,0.0,30968.55078125,31121.419921875,30921.7109375,30937.0390625,373150000.0,13681.7197265625,13702.6904296875,13603.1904296875,13626.0595703125,6781460000.0,21712,1906
2021-01-27,0.0,35.916666666666664,0.0,0.0,0.0,550.7100219726562,556.4199829101562,515.72998046875,523.280029296875,8670300.0,0.0,0.0,30893.779296875,30893.779296875,30206.91015625,30303.169921875,566470000.0,13486.580078125,13538.419921875,13192.91015625,13270.599609375,11102160000.0,21591,2007
2021-01-28,0.0,31.625,0.0,0.0,0.0,535.8800048828125,553.1500244140625,530.739990234375,538.5999755859375,5969000.0,0.0,0.0,30377.189453125,30951.41015625,30377.189453125,30603.359375,465140000.0,13323.2900390625,13507.6396484375,13316.51953125,13337.16015625,9823150000.0,22072,2102
2021-01-29,0.0,15.75,0.0,0.0,0.0,538.0,541.0,530.1799926757812,532.3900146484375,4325300.0,0.0,0.0,30553.91015625,30553.91015625,29856.30078125,29982.619140625,536320000.0,13284.7197265625,13322.0,12985.0498046875,13070.6904296875,7809670000.0,21400,2326
2021-01-30,0.0,31.208333333333332,0.5416666666666666,0.0,0.0,,,,,,,,,,,,,,,,,,21808,1849
2021-01-31,0.0,31.458333333333332,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21995,1855
2021-02-01,0.0,30.791666666666668,0.5,0.0,0.0,536.7899780273438,545.0599975585938,531.72998046875,539.0399780273438,3547500.0,0.0,0.0,30054.73046875,30335.91015625,30014.970703125,30211.91015625,347060000.0,13226.1796875,13431.4599609375,13132.4697265625,13403.3896484375,7014220000.0,21046,1887
2021-02-02,0.0,27.125,0.5,0.0,0.0,542.010009765625,555.47998046875,538.9299926757812,548.1599731445312,3767600.0,0.0,0.0,30276.880859375,30840.5390625,30276.880859375,30687.48046875,333160000.0,13543.099609375,13652.7001953125,13535.8603515625,13612.7802734375,7240220000.0,20475,1962
2021-02-03,0.0,25.958333333333332,0.0,0.0,0.0,550.1699829101562,550.47998046875,538.239990234375,539.4500122070312,3172300.0,0.0,0.0,30689.650390625,30793.41015625,30521.310546875,30723.599609375,305590000.0,13718.3095703125,13723.830078125,13585.33984375,13610.5400390625,7465240000.0,21376,2089
2021-02-04,0.0,21.083333333333332,0.375,0.0,0.4166666666666667,539.8099975585938,559.47998046875,537.510009765625,552.1599731445312,5164500.0,0.0,0.0,30737.779296875,31065.9609375,30737.779296875,31055.859375,338330000.0,13674.0595703125,13778.419921875,13631.6201171875,13777.740234375,7218680000.0,21386,1984
2021-02-05,0.0,27.0,0.0,0.0,0.0,552.260009765625,554.4400024414062,545.47998046875,550.7899780273438,2376200.0,0.0,0.0,31093.810546875,31252.1796875,31083.220703125,31148.240234375,293550000.0,13824.8798828125,13878.16015625,13761.66015625,13856.2998046875,6697720000.0,21276,1788
2021-02-06,0.0,35.041666666666664,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21571,1817
2021-02-07,0.0,31.958333333333332,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21676,1830
2021-02-08,0.0,20.291666666666668,0.0,0.0,0.0,555.0,555.0,543.7000122070312,547.9199829101562,2791700.0,0.0,0.0,31191.19921875,31386.099609375,31191.19921875,31385.759765625,322250000.0,13937.0595703125,13987.740234375,13894.150390625,13987.6396484375,8439940000.0,20395,1720
2021-02-09,0.0,19.666666666666668,0.0,0.0,0.0,546.0,566.0,543.0,559.0700073242188,3703500.0,0.0,0.0,31359.880859375,31439.470703125,31245.859375,31375.830078125,308210000.0,13966.8203125,14044.9501953125,13966.5498046875,14007.7001953125,8658980000.0,20558,1709
2021-02-10,0.0,19.333333333333332,0.0,0.0,0.0,562.5,566.6500244140625,553.4600219726562,563.5900268554688,3991300.0,0.0,0.0,31428.01953125,31511.439453125,31221.3203125,31437.80078125,326450000.0,14093.349609375,14109.1201171875,13845.4697265625,13972.5302734375,10165550000.0,19683,1846
2021-02-11,0.0,28.5,0.0,0.0,0.0,564.4400024414062,565.9299926757812,554.219970703125,557.5900268554688,2730600.0,0.0,0.0,31466.490234375,31543.8203125,31244.359375,31430.69921875,280320000.0,14045.2099609375,14058.91015625,13916.849609375,14025.76953125,10000200000.0,20062,1680
2021-02-12,0.0,26.083333333333332,0.0,0.0,0.0,556.9400024414062,561.25,550.8499755859375,556.52001953125,2197100.0,0.0,0.0,31420.80078125,31475.310546875,31347.80078125,31458.400390625,263090000.0,13979.2099609375,14102.0400390625,13937.7099609375,14095.4697265625,7352960000.0,22827,1903
2021-02-13,0.0,33.875,0.5833333333333334,0.0,0.0,,,,,,,,,,,,,,,,,,21673,1647
2021-02-14,0.0,28.125,0.375,0.0,0.0,,,,,,,,,,,,,,,,,,21317,1718
2021-02-15,0.0,28.416666666666668,0.0,0.0,0.4583333333333333,,,,,,,,,,,,,,,,,,20175,1616
2021-02-16,0.0,22.291666666666668,0.0,0.0,0.0,557.2899780273438,563.6300048828125,552.72998046875,557.280029296875,2624100.0,0.0,0.0,31472.080078125,31608.630859375,31443.48046875,31522.75,329210000.0,14152.2099609375,14175.1201171875,13995.4501953125,14047.5,7646300000.0,20064,1748
2021-02-17,0.0,18.333333333333332,0.0,0.0,0.0,550.989990234375,555.25,543.030029296875,551.3400268554688,2069600.0,0.0,0.0,31485.609375,31643.69921875,31338.759765625,31613.01953125,343510000.0,13911.650390625,13976.4296875,13804.259765625,13965.490234375,7227140000.0,19693,1775
2021-02-18,0.0,18.833333333333332,0.3333333333333333,0.0,0.0,549.0,550.0,538.22998046875,548.219970703125,2456200.0,0.0,0.0,31558.599609375,31558.599609375,31285.3203125,31493.33984375,325990000.0,13814.669921875,13905.9599609375,13714.349609375,13865.3603515625,6454280000.0,20378,2030
2021-02-19,0.0,25.583333333333332,0.0,0.0,0.0,548.0,548.989990234375,538.8099975585938,540.219970703125,2841500.0,0.0,0.0,31504.130859375,31647.529296875,31469.33984375,31494.3203125,353070000.0,13929.2001953125,13985.580078125,13842.599609375,13874.4599609375,6686060000.0,20324,1611
2021-02-20,0.0,37.125,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21005,1596
2021-02-21,0.0,42.833333333333336,0.0,0.0,0.5416666666666666,,,,,,,,,,,,,,,,,,21114,1799
2021-02-22,0.0,29.208333333333332,0.0,0.0,0.0,534.989990234375,541.7899780273438,530.7899780273438,533.780029296875,3078600.0,0.0,0.0,31381.119140625,31653.48046875,31286.5703125,31521.689453125,387210000.0,13714.2001953125,13757.0595703125,13530.9599609375,13533.0498046875,6435100000.0,20720,1898
2021-02-23,0.0,30.5,0.0,0.0,0.0,525.0,548.5399780273438,518.280029296875,546.1500244140625,4136500.0,0.0,0.0,31501.890625,31653.380859375,31158.759765625,31537.349609375,460410000.0,13262.6103515625,13526.08984375,13003.98046875,13465.2001953125,7482840000.0,20434,1803
2021-02-24,0.0,29.75,0.0,0.0,0.0,539.7999877929688,556.8499755859375,539.0700073242188,553.4099731445312,3245000.0,0.0,0.0,31499.75,32009.640625,31421.2890625,31961.859375,410150000.0,13400.25,13607.3603515625,13286.58984375,13597.9697265625,5793430000.0,20055,1852
2021-02-25,0.0,30.25,0.0,0.0,0.0,550.27001953125,556.47998046875,535.75,546.7000122070312,4252900.0,0.0,0.0,31955.939453125,31984.76953125,31293.3203125,31402.009765625,454110000.0,13512.6396484375,13602.8603515625,13066.3798828125,13119.4296875,6335240000.0,21459,1733
2021-02-26,0.0,26.958333333333332,0.0,0.0,0.0,546.510009765625,553.0900268554688,538.0,538.8499755859375,3755600.0,0.0,0.0,31401.2890625,31450.890625,30911.369140625,30932.369140625,532250000.0,13232.900390625,13368.0595703125,13024.5302734375,13192.349609375,5883880000.0,20876,2131
2021-02-27,0.0,35.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,20598,1706
2021-02-28,0.0,32.125,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21793,1771
2021-03-01,0.0,31.0,0.0,0.0,0.0,545.5700073242188,552.1400146484375,542.0,550.6400146484375,3041400.0,0.0,0.0,31065.900390625,31668.33984375,31065.900390625,31535.509765625,385670000.0,13406.16015625,13596.58984375,13362.66015625,13588.830078125,5047710000.0,21989,1985
2021-03-02,0.0,30.416666666666668,0.0,0.0,0.0,553.3400268554688,556.989990234375,546.02001953125,547.8200073242188,3042200.0,0.0,0.0,31535.369140625,31623.26953125,31377.16015625,31391.51953125,337270000.0,13599.4501953125,13601.330078125,13352.0,13358.7900390625,4920320000.0,20742,1973
2021-03-03,0.0,33.958333333333336,0.0,0.0,0.0,545.9299926757812,548.010009765625,517.8099975585938,520.7000122070312,5362400.0,0.0,0.0,31352.9609375,31563.310546875,31260.140625,31270.08984375,409660000.0,13336.25,13372.51953125,12995.0703125,12997.75,5493960000.0,21998,2036
2021-03-04,0.0,22.875,0.0,0.0,0.0,521.5,531.5,507.67999267578125,511.2900085449219,5034800.0,0.0,0.0,31289.009765625,31461.970703125,30547.529296875,30924.140625,537850000.0,12953.990234375,13068.7099609375,12553.9599609375,12723.4697265625,7799710000.0,20728,1812
2021-03-05,0.0,29.291666666666668,1.0416666666666667,0.0,0.0,511.9800109863281,517.760009765625,498.7900085449219,516.3900146484375,5070000.0,0.0,0.0,31029.1796875,31580.330078125,30766.810546875,31496.30078125,501810000.0,12860.0400390625,12941.2099609375,12397.0498046875,12920.150390625,7696900000.0,20805,1636
2021-03-06,0.0,33.416666666666664,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,20851,1562
2021-03-07,0.0,32.416666666666664,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21814,1738
2021-03-08,0.0,24.916666666666668,0.4166666666666667,0.6666666666666666,0.0,514.4600219726562,518.8400268554688,492.8500061035156,493.3299865722656,3981800.0,0.0,0.0,31512.150390625,32148.0390625,31512.150390625,31802.439453125,496980000.0,12904.259765625,13001.0,12599.23046875,12609.16015625,5971260000.0,20422,1831
2021-03-09,0.0,23.708333333333332,0.375,0.0,0.0,507.30999755859375,513.1099853515625,503.82000732421875,506.44000244140625,3470000.0,0.0,0.0,31892.349609375,32150.3203125,31822.640625,31832.740234375,458690000.0,12923.0703125,13151.5400390625,12882.490234375,13073.8203125,6294910000.0,20425,1707
2021-03-10,0.0,20.541666666666668,0.0,0.5833333333333334,0.0,513.5,518.969970703125,504.25,504.5400085449219,3771500.0,0.0,0.0,31906.9609375,32389.5,31906.9609375,32297.01953125,409110000.0,13234.73046875,13277.1103515625,13035.4404296875,13068.830078125,5991730000.0,21508,1764
2021-03-11,0.0,22.166666666666668,0.0,0.0,0.0,512.2000122070312,530.239990234375,510.7099914550781,523.0599975585938,4714500.0,0.0,0.0,32354.5,32661.58984375,32345.69921875,32485.58984375,400020000.0,13273.3095703125,13433.6201171875,13246.330078125,13398.669921875,5956260000.0,19746,1947
2021-03-12,0.0,31.333333333333332,0.0,0.0,0.0,512.5,526.510009765625,506.5899963378906,518.02001953125,3981700.0,0.0,0.0,32462.400390625,32793.3203125,32462.400390625,32778.640625,346400000.0,13222.8095703125,13324.6904296875,13158.7197265625,13319.8603515625,5472340000.0,21451,2618
2021-03-13,0.0,46.083333333333336,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,20659,2036
2021-03-14,0.0,37.208333333333336,0.2916666666666667,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,21081,1817
2021-03-15,0.0,27.666666666666668,0.0,0.0,0.0,516.3200073242188,520.72998046875,508.0299987792969,520.25,3484300.0,0.0,0.0,32798.83984375,32973.3984375,32629.75,32953.4609375,360080000.0,13323.4697265625,13460.349609375,13272.5,13459.7099609375,5933440000.0,20963,1924
2021-03-16,0.0,24.708333333333332,0.20833333333333334,0.0,0.0,524.469970703125,533.4199829101562,523.2100219726562,524.030029296875,3238900.0,0.0,0.0,32966.75,32966.75,32778.23046875,32825.94921875,386370000.0,13523.169921875,13620.7099609375,13397.080078125,13471.5703125,5463770000.0,20711,2200
2021-03-17,0.0,23.291666666666668,0.20833333333333334,0.08333333333333333,0.0,522.0,528.3699951171875,514.2999877929688,524.4400024414062,2817400.0,0.0,0.0,32825.51953125,33047.578125,32782.1796875,33015.37109375,391200000.0,13336.91015625,13595.0,13272.6904296875,13525.2001953125,5465500000.0,19951,2340
2021-03-18,0.0,22.75,0.0,0.0,0.0,516.4000244140625,517.9000244140625,503.8500061035156,504.7900085449219,4094500.0,0.0,0.0,32928.16015625,33227.78125,32831.25,32862.30078125,418480000.0,13349.2001953125,13384.4599609375,13101.919921875,13116.169921875,5699900000.0,20410,2387
2021-03-19,0.0,19.291666666666668,0.375,0.0,0.0,504.9599914550781,513.1900024414062,501.6300048828125,512.1799926757812,4386400.0,0.0,0.0,32858.359375,32858.359375,32505.0703125,32627.970703125,811890000.0,13119.900390625,13252.3701171875,13039.4501953125,13215.240234375,7591530000.0,21344,2327
2021-03-20,0.0,32.791666666666664,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21381,2513
2021-03-21,0.0,33.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21364,2767
2021-03-22,0.0,25.0,0.0,0.0,0.0,509.1300048828125,529.3099975585938,509.1300048828125,523.1099853515625,3360600.0,0.0,0.0,32601.8203125,32810.3515625,32512.529296875,32731.19921875,383500000.0,13278.7802734375,13455.6396484375,13278.7802734375,13377.5400390625,5302770000.0,20960,2647
2021-03-23,0.0,19.791666666666668,0.6666666666666666,0.0,0.0,529.8699951171875,543.1199951171875,529.4000244140625,535.0900268554688,5583500.0,0.0,0.0,32691.5,32753.76953125,32356.279296875,32423.150390625,385840000.0,13381.4296875,13405.150390625,13202.4296875,13227.7001953125,5607860000.0,20901,2349
2021-03-24,0.0,23.958333333333332,0.0,0.0,0.0,533.780029296875,534.4199829101562,520.0,520.8099975585938,4102200.0,0.0,0.0,32470.880859375,32787.98828125,32418.150390625,32420.060546875,399390000.0,13289.240234375,13292.919921875,12961.349609375,12961.8896484375,6184470000.0,20492,2293
2021-03-25,0.0,21.0,0.3333333333333333,0.0,0.0,516.989990234375,518.530029296875,497.0,502.8599853515625,4926800.0,0.0,0.0,32346.810546875,32672.689453125,32071.41015625,32619.48046875,411990000.0,12844.580078125,13021.8603515625,12786.8095703125,12977.6796875,5608640000.0,20487,2036
2021-03-26,0.0,20.791666666666668,0.375,0.0,0.0,502.82000732421875,508.7200012207031,496.67999267578125,508.04998779296875,3467800.0,0.0,0.0,32681.0703125,33098.828125,32681.0703125,33072.87890625,382170000.0,12996.0302734375,13149.5498046875,12878.7197265625,13138.73046875,5195330000.0,20848,1848
2021-03-27,0.0,25.083333333333332,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,24257,1804
2021-03-28,0.0,33.833333333333336,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21582,2050
2021-03-29,0.0,25.416666666666668,0.5416666666666666,0.0,0.0,505.6600036621094,518.0,504.3999938964844,513.9500122070312,3330000.0,0.0,0.0,33087.55078125,33259.0,32905.12890625,33171.37109375,351610000.0,13103.9697265625,13143.41015625,12968.16015625,13059.650390625,4934000000.0,20048,2051
2021-03-30,0.0,20.0,0.0,0.0,0.0,510.510009765625,514.4099731445312,506.9100036621094,513.3900146484375,2418100.0,0.0,0.0,33127.87890625,33170.9296875,32988.921875,33066.9609375,307510000.0,13008.7998046875,13075.75,12922.5703125,13045.3896484375,4685320000.0,19398,1856
2021-03-31,0.0,22.583333333333332,0.5,0.0,0.0,515.6699829101562,528.1300048828125,515.4400024414062,521.6599731445312,3503100.0,0.0,0.0,33116.0390625,33173.76953125,32980.5703125,32981.55078125,414140000.0,13122.5703125,13325.5400390625,13118.3798828125,13246.8701171875,4980670000.0,20082,1886
2021-04-01,0.0,28.458333333333332,0.0,0.0,0.0,529.9299926757812,540.5,527.030029296875,539.4199829101562,3938600.0,0.0,0.0,33054.578125,33167.171875,32985.3515625,33153.2109375,311880000.0,13414.3203125,13487.080078125,13404.1796875,13480.1103515625,4553470000.0,20891,2067
2021-04-02,0.0,27.041666666666668,0.0,0.0,0.4166666666666667,,,,,,,,,,,,,,,,,,21074,1850
