date,Netflix. Inc,Netflix_x,Netflix Stock,Streaming media,Reed Hastings_x,Open,High,Low,Close,Volume,Dividends,Stock Splits,dow_open,dow_high,dow_low,dow_close,dow_vol,nas_open,nas_high,nas_low,nas_close,nas_vol,Netflix_y,Reed Hastings_y
2020-01-01,0.0,38.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,17868,1746
2020-01-02,0.0,34.666666666666664,0.5,0.375,0.0,326.1000061035156,329.9800109863281,324.7799987792969,329.80999755859375,4485800.0,0.0,0.0,28638.970703125,28872.80078125,28627.76953125,28868.80078125,251820000.0,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,2848370000.0,19429,2190
2020-01-03,0.0,34.916666666666664,0.5416666666666666,0.5,0.0,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,3806900.0,0.0,0.0,28553.330078125,28716.310546875,28500.359375,28634.880859375,239590000.0,8976.4296875,9065.759765625,8976.4296875,9020.76953125,2567400000.0,18217,1939
2020-01-04,0.0,33.125,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,18458,1899
2020-01-05,0.0,26.458333333333332,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,19083,2392
2020-01-06,0.0,27.791666666666668,0.0,0.0,0.0,323.1199951171875,336.3599853515625,321.20001220703125,335.8299865722656,5663100.0,0.0,0.0,28465.5,28708.01953125,28418.630859375,28703.380859375,252760000.0,8943.5,9072.41015625,8943.5,9071.4697265625,2788120000.0,20765,4045
2020-01-07,0.0,23.5,0.0,0.0,0.0,336.4700012207031,336.70001220703125,330.29998779296875,330.75,4703200.0,0.0,0.0,28639.1796875,28685.5,28565.279296875,28583.6796875,258900000.0,9076.6396484375,9091.9296875,9042.5498046875,9068.580078125,2352850000.0,19066,2807
2020-01-08,0.0,16.125,0.0,0.0,0.0,331.489990234375,342.70001220703125,331.04998779296875,339.260009765625,7104500.0,0.0,0.0,28556.140625,28866.1796875,28522.509765625,28745.08984375,291750000.0,9068.0302734375,9168.8896484375,9059.3798828125,9129.240234375,2464090000.0,16921,2216
2020-01-09,0.0,24.458333333333332,0.0,0.0,0.0,342.0,343.4200134277344,334.6099853515625,335.6600036621094,4709300.0,0.0,0.0,28851.970703125,28988.009765625,28844.310546875,28956.900390625,275060000.0,9202.26953125,9215.9501953125,9158.5,9203.4296875,2534700000.0,16143,2100
2020-01-10,0.0,18.333333333333332,1.25,0.0,0.0,337.1300048828125,338.5,327.2699890136719,329.04998779296875,4718300.0,0.0,0.0,28977.51953125,29009.0703125,28789.099609375,28823.76953125,237830000.0,9232.9501953125,9235.2001953125,9164.66015625,9178.8603515625,2378990000.0,15014,2014
